"ISO3","Year","Arrangement Number","Key Code","Economic Descriptor","Description","rohstoff_desc","rohstoff_text","rohstoff_cond","stabil_desc","stabil_text","stabil_cond","sonstige_cond"
"AGO",2009,623,"PA","1.8. Budget preparation (e.g., submission or approval)","Cabinet approval of the 2010 budget",0,0,0,1,1,1,0
"AGO",2009,623,"SB","1.1. Revenue measures, excluding trade policy","Cabinet approval of the tax reform strategy.",0,0,0,1,0,1,0
"AGO",2009,623,"SB","1.7. Fiscal transparency (publication, parliamentary oversight)","Completion of the 2008 audit of the accounts of Sonangol, including its quasifiscal operations, by an audit firm of international reputation",0,0,0,1,1,1,0
"AGO",2009,623,"SB","1.7. Fiscal transparency (publication, parliamentary oversight)","Submission to the cabinet of the approval documents of the Angola Sovereign Wealth Fund (future SBA reviews will set benchmarks on implementation)",0,0,0,1,0,1,0
"AGO",2009,623,"SB","1.7. Fiscal transparency (publication, parliamentary oversight)","i) Publication of quarterly budget execution reports by the central government.",0,0,0,1,1,1,0
"AGO",2009,623,"SB","1.7. Fiscal transparency (publication, parliamentary oversight)","ii) Reporting on quarterly basis by major SOEs to the government of their quasi-fiscal operations and investment activities and publishing the reports.",0,0,0,1,1,1,0
"AGO",2009,623,"SB","6.1. Financial sector legal reforms, regulation, and supervision","Amend provisioning regulation to reflect the credit risk of foreign currency loans",0,0,0,0,0,0,1
"AGO",2009,623,"SB","6.1. Financial sector legal reforms, regulation, and supervision","Development of an off-site supervisory tools to monitor banks"" credit exposures by currency and maturities",0,0,0,0,0,0,1
"AGO",2009,623,"PA","1.7. Fiscal transparency (publication, parliamentary oversight)","Publication of Sonangol’s 2007 and 2008 audited financial statements which includes its quasifiscal operations.",0,0,0,1,1,1,0
"AGO",2009,623,"PA","1.8. Budget preparation (e.g., submission or approval)","Cabinet approval of the 2010 budget",0,0,0,1,1,1,0
"AGO",2009,623,"PA","2.2. Central bank auditing, transparency, and financial controls","Publication of the audited financial statements of BNA for 2008, including the explanatory notes and Deloitte’s signed audit opinion, on the BNA’s external website.",0,0,0,1,0,1,0
"AGO",2009,623,"PA","2.2. Central bank auditing, transparency, and financial controls","Completion of the audited financial statements of BNA for 2009, with the signing of the BNA.",0,0,0,1,0,1,0
"AGO",2009,623,"SB","1. General government","Establishment of the project appraisal framework",0,0,0,1,0,1,0
"AGO",2009,623,"SB","1. General government","Completion of the first project assessment report.",0,0,0,1,0,1,0
"AGO",2009,623,"SB","1.1. Revenue measures, excluding trade policy","Cabinet approval of the tax reform strategy.",0,0,0,1,0,1,0
"AGO",2009,623,"SB","1.5. Debt Management","Cabinet approval the main recommendations of the forthcoming IMF technical assistance on developing a sound medium term debt strategy.",0,0,0,1,1,1,0
"AGO",2009,623,"SB","1.7. Fiscal transparency (publication, parliamentary oversight)","Completion of the 2008 audit of the accounts of Sonangol, including its quasifiscal operations, by an audit firm of international reputation",0,0,0,1,1,1,0
"AGO",2009,623,"SB","1.7. Fiscal transparency (publication, parliamentary oversight)","Submission to the cabinet of the approval documents of the Angola Sovereign Wealth Fund (future SBA reviews will set benchmarks on implementation)",0,0,0,1,0,1,0
"AGO",2009,623,"SB","1.7. Fiscal transparency (publication, parliamentary oversight)","i) Publication of quarterly budget execution reports by the central government.",0,0,0,1,1,1,0
"AGO",2009,623,"SB","1.7. Fiscal transparency (publication, parliamentary oversight)","ii) Reporting on quarterly basis by major SOEs to the government of their quasi-fiscal operations and investment activities and publishing the reports.",0,0,0,1,1,1,0
"AGO",2009,623,"SB","1.7. Fiscal transparency (publication, parliamentary oversight)","Publication of the audit of Sonangol’s 2009 financial statements which includes its quasifiscal operations",0,0,0,1,1,1,0
"AGO",2009,623,"SB","2.1. Central bank operations and reforms","Appointment of an investment committee by the Board of Directors of BNA to meet at least monthly to oversee reserves management operations and reporting.",0,0,0,1,1,1,0
"AGO",2009,623,"SB","2.1. Central bank operations and reforms","Formalization of investment guidelines for foreign reserves of the BNA by the Board of Directors of BNA",0,0,0,1,1,1,0
"AGO",2009,623,"SB","2.1. Central bank operations and reforms","Issuance of semiannual reports by the Internal Audit Office of the BNA to the Board on compliance with the foreign reserve investment guidelines",0,0,0,1,1,1,0
"AGO",2009,623,"SB","2.1. Central bank operations and reforms","Appointments of consultants with significant proven experience in capacity building within the field of internal auditing for a minimum period of two years to build capacity and bring the Internal Audit Office of the BNA up to the level of a modern internal audit function",0,0,0,1,0,1,0
"AGO",2009,623,"SB","2.1. Central bank operations and reforms","Reconstituting the Audit Board by (i) replacing the member who has a conflict of interest, (ii) adopting a Charter to define all statutory responsibilities, and (iii) assuming oversight of the external audit and financial reporting process.",0,0,0,1,1,1,0
"AGO",2009,623,"SB","2.2. Central bank auditing, transparency, and financial controls","Publication of the audited financial statements of BNA for 2009, including the explanatory notes and Deloitte’s signed audit opinion, on the BNA’s external website",0,0,0,1,0,1,0
"AGO",2009,623,"SB","2.2. Central bank auditing, transparency, and financial controls","Completion of an external audit on BNA by an international audit firm to confirm: (i) the existence, availability, and fair value of foreign assets as of June 2010; and (ii) the accuracy of NIR data reported to the Fund, including compliance with the definitions agreed under the program. The scope of the audit should be based on Terms of Reference agreed with Fund staff",0,0,0,1,0,1,0
"AGO",2009,623,"SB","6.1. Financial sector legal reforms, regulation, and supervision","Amend provisioning regulation to reflect the credit risk of foreign currency loans",0,0,0,0,0,0,1
"AGO",2009,623,"SB","6.1. Financial sector legal reforms, regulation, and supervision","Development of an off-site supervisory tools to monitor banks"" credit exposures by currency and maturities",0,0,0,0,0,0,1
"AGO",2009,623,"PA","1.7. Fiscal transparency (publication, parliamentary oversight)","Publication of Sonangol’s 2007 and 2008 audited financial statements which includes its quasifiscal operations.",0,0,0,1,1,1,0
"AGO",2009,623,"PA","1.8. Budget preparation (e.g., submission or approval)","Cabinet approval of the 2010 budget",0,0,0,1,1,1,0
"AGO",2009,623,"PA","2.2. Central bank auditing, transparency, and financial controls","Publication of the audited financial statements of BNA for 2008, including the explanatory notes and Deloitte’s signed audit opinion, on the BNA’s external website.",0,0,0,1,0,1,0
"AGO",2009,623,"PA","2.2. Central bank auditing, transparency, and financial controls","Completion of the audited financial statements of BNA for 2009, with the signing of the BNA.",0,0,0,1,0,1,0
"AGO",2009,623,"PA","2.2. Central bank auditing, transparency, and financial controls","Completion of the review of National Bank of Angola's net international reserves",0,0,0,1,1,1,0
"AGO",2009,623,"SB","1. General government","Establishment of the project appraisal framework",0,0,0,1,0,1,0
