"ISO3","Year","unsc","unsc_t1","unsc3","ArrangementID","avgcondtype_all","nrcondtype_all","rohstoff_cond","stabil_cond","rohstoff_cond_share","stabil_cond_share","XDebtGNI","DebtServGNI","ResXDebt","FuelExportPct","MineralExportPct","Rohstoffabhängigkeit","Rohstoffabhaengigkeit"
"AGO",2002,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"AGO",2003,1,0,1,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"AGO",2004,1,1,1,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"AGO",2005,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"AGO",2006,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"AGO",2007,0,0,0,NA,NA,NA,0,0,0,0,97.2256307002466,19.008,93.7613880101388,97.2265175257191,2.6754262387962,99.9019437645153,99.9019437645153
"AGO",2008,0,0,0,NA,NA,NA,0,0,0,0,108.680408742706,15.3285,114.576685452338,97.6960413340041,1.91922873173295,99.615270065737,99.615270065737
"AGO",2009,0,0,0,623,10,90,0,52,0,52,102.263183257504,12.7855,67.3862436646591,97.9163484511435,2.00203147222072,99.9183799233642,99.9183799233642
"AGO",2009,0,0,0,623,8,80,0,52,0,52,102.263183257504,12.7855,67.3862436646591,97.9163484511435,2.00203147222072,99.9183799233642,99.9183799233642
"AGO",2010,0,0,0,NA,NA,NA,0,0,0,0,90.9940631357987,17.0463,73.4399741115108,97.9075489248038,2.03762931763898,99.9451782424428,99.9451782424428
"AGO",2011,0,0,0,NA,NA,NA,0,0,0,0,89.0369443426985,17.479,77.9703283174297,98.1409863974632,1.82030992184898,99.9612963193122,99.9612963193122
"AGO",2012,0,0,0,NA,NA,NA,0,0,0,0,81.939478548327,24.0455,86.1647996818561,98.3701689632146,1.56671577949772,99.9368847427123,99.9368847427123
"AGO",2013,0,0,0,NA,NA,NA,0,0,0,0,77.3498013719917,26.1625,72.666055277642,98.2172596289667,1.70731149604581,99.9245711250125,99.9245711250125
"AGO",2014,0,0,0,NA,NA,NA,0,0,0,0,69.5801424480502,16.6796,58.8627891798385,97.7227216005661,2.18366735941927,99.9063889599854,99.9063889599854
"AGO",2015,0,0,0,NA,NA,NA,0,0,0,0,54.9793808780995,12.4058,48.779569003636,94.0159079753161,3.24392135052176,97.2598293258379,97.2598293258379
"AGO",2016,0,0,0,NA,NA,NA,0,0,0,0,46.3256130571521,7.6677,41.2162687466478,92.7010547736293,3.5430584083964,96.2441131820257,96.2441131820257
"AGO",2017,0,0,0,NA,NA,NA,0,0,0,0,44.9963253203189,6.3121,29.7132790690209,94.6912550619684,3.2888111877969,97.9800662497653,97.9800662497653
"AGO",2018,0,0,0,774,20.5833333333333,247,5,62,5,62,58.2698953890633,4.5827,24.9393651478579,95.6723202169276,2.9599977992618,98.6323180161894,98.6323180161894
"AGO",2018,0,0,0,774,4.69230769230769,61,5,62,5,62,58.2698953890633,4.5827,24.9393651478579,95.6723202169276,2.9599977992618,98.6323180161894,98.6323180161894
"AGO",2019,0,0,0,NA,NA,NA,0,0,0,0,60.3713068739603,4.147,26.2229690528548,95.2492483273439,3.54452524881699,98.7937735761609,98.7937735761609
"AGO",2020,0,0,0,NA,NA,NA,0,0,0,0,54.6604030683749,8.1806,21.0716867255243,93.0512900749378,5.37285733742943,98.4241474123672,98.4241474123672
"AGO",2021,0,0,0,NA,NA,NA,0,0,0,0,62.5287705320674,7.0271,21.9148430807675,94.1637464395459,4.73446732916134,98.8982137687073,98.8982137687073
"AGO",2022,0,0,0,NA,NA,NA,0,0,0,0,56.5380722280743,6.9361,22.5900353584516,94.9233435630702,4.13015252901342,99.0534960920836,99.0534960920836
"AGO",2023,0,0,0,NA,NA,NA,0,0,0,0,53.6070126498686,8.6092,24.3432052453284,94.1710862801417,4.34074978568308,98.5118360658248,98.5118360658248
"AGO",2024,0,0,0,NA,NA,NA,0,0,0,0,49.8489506740963,9.8896,24.2502122332294,94.1347736309318,4.35688565012152,98.4916592810533,98.4916592810533
"AGO",2025,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CAF",2002,0,0,0,NA,NA,NA,0,0,0,0,36.1085647794782,4.9853,11.891594709964,0.0778653069442277,21.7486667328819,21.8265320398261,21.8265320398261
"CAF",2003,0,0,0,NA,NA,NA,0,0,0,0,36.2312260023474,9.6419,13.0640736002624,0,36.5638934976707,36.5638934976707,36.5638934976707
"CAF",2004,0,0,0,NA,NA,NA,0,0,0,0,33.2439549188203,10.1609,13.9069490660465,0.183133391819856,36.7893669865716,36.9725003783915,36.9725003783915
"CAF",2005,0,0,0,NA,NA,NA,0,0,0,0,35.0709368656226,11.7864,13.885792066983,0.399435923020329,17.7717761821553,18.1712121051756,18.1712121051756
"CAF",2006,0,0,0,575,6.08333333333333,73,33,32,33,32,36.3958702287378,12.2,12.6420101867723,0.0134845615699792,15.7146700640248,15.7281546255948,15.7281546255948
"CAF",2006,0,0,0,575,5.64285714285714,79,33,32,33,32,36.3958702287378,12.2,12.6420101867723,0.0134845615699792,15.7146700640248,15.7281546255948,15.7281546255948
"CAF",2006,0,0,0,575,2.8125,45,33,32,33,32,36.3958702287378,12.2,12.6420101867723,0.0134845615699792,15.7146700640248,15.7281546255948,15.7281546255948
"CAF",2007,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CAF",2008,0,0,0,NA,NA,NA,0,0,0,0,34.4375218095517,10.2541,13.1889635627955,0.0243624066926479,35.656003903309,35.6803663100016,35.6803663100016
"CAF",2009,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CAF",2010,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CAF",2011,0,0,0,NA,NA,NA,0,0,0,0,34.4756183327299,21.6758,24.9008193588016,0.544915903295515,60.6801604344611,61.2250763377566,61.2250763377566
"CAF",2012,0,0,0,686,2,16,3,5,3,5,33.0594485943314,17.3583,25.1925333983863,0.046403868360573,57.8085217674326,57.8549256357932,57.8549256357932
"CAF",2013,0,0,0,NA,NA,NA,0,0,0,0,38.3992875721315,17.6055,29.7593462953722,0.0930612129794418,45.7112889245984,45.8043501375778,45.8043501375778
"CAF",2014,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"CAF",2015,0,0,0,NA,NA,NA,0,0,0,0,53.1451477769621,15.3536,28.8806540410498,0.0112891940575805,0.0123609137787959,0.0236501078363764,0.0236501078363764
"CAF",2016,0,0,0,746,12,144,11,82,11,82,50.53064402191,15.0567,32.2353111184096,0.0462492040248339,2.19732333466574,2.24357253869057,2.24357253869057
"CAF",2016,0,0,0,746,3.53846153846154,46,11,82,11,82,50.53064402191,15.0567,32.2353111184096,0.0462492040248339,2.19732333466574,2.24357253869057,2.24357253869057
"CAF",2017,0,0,0,NA,NA,NA,0,0,0,0,57.1435457117119,14.4923,46.9404234809343,0.00690133272476388,3.71771062746912,3.72461196019388,3.72461196019388
"CAF",2018,0,0,0,NA,NA,NA,0,0,0,0,49.6602000024318,13.3622,43.3160280578681,0.0234095847313264,13.9117395814817,13.935149166213,13.935149166213
"CAF",2019,0,0,0,790,1.6,16,0,6,0,6,50.0658000014868,14.3762,40.3703328528045,0.0113438958450479,4.84862130405419,4.85996519989924,4.85996519989924
