"ISO3","Year","Arrangement.Number","Country.Name","MONA.Code","Arrangement.Type","Approval.date","Initial.End.Date","Initial.End.Year","Revised.End.Date","Duration.Of.Annual.Arrangement.From","Duration.Of.Annual.Arrangement.To","Board.Action.Date","Program.Type","Review.Type","Review.Status","Key.Code","Economic.Code","Economic.Descriptor","Description","Description.Code","Test.Date","PC.Status","Comments","Sort","EsOrder","NewTestDate","Added.At","Assessed.At","Unique.ID","Parent.ID","XDebtGNI","DebtServGNI","ResXDebt","FuelExportPct","MineralExportPct","Rohstoffabhängigkeit","unsc","unsc_t1","unsc3"
"KEN",2021,807,"KENYA",664,"ECF-EFF","2-Apr-21","1-Jun-24",2024,NA,NA,NA,"17-Jan-24","P1","R6","BLANK","SB",20.7,"1.7. Fiscal transparency (publication, parliamentary oversight)","NT to submit to Cabinet a comprehensive, timebound strategy to validate the stock of outstanding pending bills, address public financial management shortcomings that gave rise to pending bills, and clear the verified pending bills over the medium term consistent with the consolidation path under our program.",8,"09/30/2023","NM","Proposed to be reset to end- February 2024",6,8,"30-Sep-23","R5",NA,"SB_20.70_8",NA,35.0020477795269,5.9073,23.0254823086428,0.924149796237318,6.38746779763161,7.31161759386893,1,0,1
"KEN",2021,807,"KENYA",664,"ECF-EFF","2-Apr-21","1-Jun-24",2024,NA,NA,NA,"30-Oct-24","P1","R7R8","L","SB",20.1,"1.1. Revenue measures, excluding trade policy","KRA to develop and publish a strategy for dealing with tax arrears post its tax amnesty program ending in June 2025",4,"11/30/2024","SB",NA,7,4,"30-Nov-24","R7R8",NA,"SB_20.10_4",NA,35.0020477795269,5.9073,23.0254823086428,0.924149796237318,6.38746779763161,7.31161759386893,1,0,1
"KEN",2021,807,"KENYA",664,"ECF-EFF","2-Apr-21","1-Jun-24",2024,NA,NA,NA,"17-Jan-24","P1","R6","BLANK","SB",20.7,"1.7. Fiscal transparency (publication, parliamentary oversight)","NT to release a report outlining procedures and rules for the clearance of pending bills and other government arrears",11,"02/29/2024","SB",NA,6,11,"29-Feb-24","R6",NA,"SB_20.70_11",NA,35.0020477795269,5.9073,23.0254823086428,0.924149796237318,6.38746779763161,7.31161759386893,1,0,1
"KEN",2021,807,"KENYA",664,"ECF-EFF","2-Apr-21","1-Jun-24",2024,NA,NA,NA,"17-Jan-24","P1","R6","BLANK","SB",20.8,"1.8. Budget preparation (e.g., submission or approval)","Submit to Parliament a budget for FY2021/22 consistent with the programed deficit target.",1,"04/30/2021","NM","Implemented with delay",6,1,"30-Apr-21","R0","R3","SB_20.80_1",NA,35.0020477795269,5.9073,23.0254823086428,0.924149796237318,6.38746779763161,7.31161759386893,1,0,1
"KEN",2021,807,"KENYA",664,"ECF-EFF","2-Apr-21","1-Jun-24",2024,NA,NA,NA,"17-Jan-24","P1","R6","BLANK","SB",20.7,"1.7. Fiscal transparency (publication, parliamentary oversight)","Submit to Cabinet for approval the draft of the MTRS with an implementation plan and mechanisms to oversee its implementation",9,"10/30/2023","NM","Implemented with delay",6,9,"30-Oct-23","R5","R6","SB_20.70_9",NA,35.0020477795269,5.9073,23.0254823086428,0.924149796237318,6.38746779763161,7.31161759386893,1,0,1
"KEN",2021,807,"KENYA",664,"ECF-EFF","2-Apr-21","1-Jun-24",2024,NA,NA,NA,"17-Jan-24","P1","R6","BLANK","SB",20.7,"1.7. Fiscal transparency (publication, parliamentary oversight)","NT to strengthen the MTRS governance and process, including by establishing a Steering Committee at ministerial level.",10,"02/29/2024","SB",NA,6,10,"29-Feb-24","R6",NA,"SB_20.70_10",NA,35.0020477795269,5.9073,23.0254823086428,0.924149796237318,6.38746779763161,7.31161759386893,1,0,1
"KEN",2021,807,"KENYA",664,"ECF-EFF","2-Apr-21","1-Jun-24",2024,NA,NA,NA,"30-Oct-24","P1","R7R8","L","SB",20.7,"1.7. Fiscal transparency (publication, parliamentary oversight)","Initiate regular quarterly reporting on pending bills, covering Ministries, Departments and Agencies (MDAs), Counties, Semi-Autonomous Government Agencies (SAGAs) and State Corporations (SCs).",1,"03/31/2021","M",NA,7,1,"31-Mar-21","R0","R1","SB_20.70_1",NA,35.0020477795269,5.9073,23.0254823086428,0.924149796237318,6.38746779763161,7.31161759386893,1,0,1
"KEN",2021,807,"KENYA",664,"ECF-EFF","2-Apr-21","1-Jun-24",2024,NA,NA,NA,"30-Oct-24","P1","R7R8","L","SB",20.7,"1.7. Fiscal transparency (publication, parliamentary oversight)","Publish the results of an audit of all COVID-19-related expenditures in FY2019/20.",2,"05/31/2021","MD","Implemented with delay",7,2,"31-May-21","R0","R1","SB_20.70_2",NA,35.0020477795269,5.9073,23.0254823086428,0.924149796237318,6.38746779763161,7.31161759386893,1,0,1
"KEN",2021,807,"KENYA",664,"ECF-EFF","2-Apr-21","1-Jun-24",2024,NA,NA,NA,"17-Jan-24","P1","R6","BLANK","SB",20.7,"1.7. Fiscal transparency (publication, parliamentary oversight)","Complete a review of how the fuel pricing mechanism has been applied to date; publicly announce and constitute a taskforce to oversee the progressive elimination of the fuel subsidy within the first half of FY2022/23 and to ensure that fuel pricing actions are at all times aligned to the approved budget.",7,"08/31/2023","NM","Implemented with delay",6,7,"31-Aug-23","R5","R6","SB_20.70_7",NA,35.0020477795269,5.9073,23.0254823086428,0.924149796237318,6.38746779763161,7.31161759386893,1,0,1
"KEN",2021,807,"KENYA",664,"ECF-EFF","2-Apr-21","1-Jun-24",2024,NA,NA,NA,"18-Jul-22","P1","R3","BLANK","SB",20.1,"1.1. Revenue measures, excluding trade policy","Issue a circular that includes an action plan for the development of a Medium-Term Revenue Strategy (MTRS) that identifies quantified overarching revenue objectives consistent with programmed tax revenue targets, clarifies the role of each institution involved, and identifies a concrete and time-limited sequence of actions for achievement of such objectives",1,"08/30/2022","SB",NA,3,1,"30-Aug-22","R3",NA,"SB_20.10_1",NA,35.0020477795269,5.9073,23.0254823086428,0.924149796237318,6.38746779763161,7.31161759386893,1,0,1
