"programnr","Arrangement.Number","Country.Name","MONA.Code","ISO3","Approval.Year","arrtype_group","nrquarters","approvaldate","nrcondtype_pc","nrcondtype_pa","nrcondtype_sb","nrcondtype_all","avgcondtype_all","avgcondtype_pc","avgcondtype_pa","avgcondtype_sb"
1,501,"UGANDA",746,"UGA",2002,"PRGF",12,"2002-09-13",32,8,98,138,11.5,2.66666666666667,0.666666666666667,8.16666666666667
1,501,"UGANDA",746,"UGA",2002,"PRGF",13,"2002-09-13",10,8,36,54,4.15384615384615,0.769230769230769,0.615384615384615,2.76923076923077
1,501,"UGANDA",746,"UGA",2002,"PRGF",14,"2002-09-13",10,8,37,55,3.92857142857143,0.714285714285714,0.571428571428571,2.64285714285714
4,505,"JORDAN",439,"JOR",2002,"EFF_SBA",8,"2002-07-03",8,12,23,43,5.375,1,1.5,2.875
13,514,"BURKINA FASO",748,"BFA",2003,"PRGF",12,"2003-06-11",8,6,11,25,2.08333333333333,0.666666666666667,0.5,0.916666666666667
13,514,"BURKINA FASO",748,"BFA",2003,"PRGF",13,"2003-06-11",45,22,66,133,10.2307692307692,3.46153846153846,1.69230769230769,5.07692307692308
14,515,"CAPE VERDE",624,"CPV",2002,"PRGF",11,"2002-04-10",15,4,28,47,4.27272727272727,1.36363636363636,0.363636363636364,2.54545454545455
14,515,"CAPE VERDE",624,"CPV",2002,"PRGF",12,"2002-04-10",9,6,13,28,2.33333333333333,0.75,0.5,1.08333333333333
14,515,"CAPE VERDE",624,"CPV",2002,"PRGF",13,"2002-04-10",18,4,38,60,4.61538461538461,1.38461538461538,0.307692307692308,2.92307692307692
15,516,"COTE D'IVOIRE",662,"CIV",2002,"PRGF",12,"2002-03-27",5,5,4,14,1.16666666666667,0.416666666666667,0.416666666666667,0.333333333333333
19,520,"GAMBIA, THE",648,"GMB",2002,"PRGF",12,"2002-07-23",0,3,5,8,0.666666666666667,0,0.25,0.416666666666667
20,521,"GHANA",652,"GHA",2003,"PRGF",12,"2003-05-09",17,26,36,79,6.58333333333333,1.41666666666667,2.16666666666667,3
20,521,"GHANA",652,"GHA",2003,"PRGF",14,"2003-05-09",41,42,65,148,10.5714285714286,2.92857142857143,3,4.64285714285714
23,524,"KENYA",664,"KEN",2003,"PRGF",12,"2003-11-21",16,10,20,46,3.83333333333333,1.33333333333333,0.833333333333333,1.66666666666667
23,524,"KENYA",664,"KEN",2003,"PRGF",16,"2003-11-21",36,18,48,102,6.375,2.25,1.125,3
24,525,"MAURITANIA",682,"MRT",2003,"PRGF",5,"2003-07-18",3,3,7,13,2.6,0.6,0.6,1.4
28,529,"RWANDA",714,"RWA",2002,"PRGF",12,"2002-08-12",22,20,42,84,7,1.83333333333333,1.66666666666667,3.5
28,529,"RWANDA",714,"RWA",2002,"PRGF",14,"2002-08-12",22,25,54,101,7.21428571428571,1.57142857142857,1.78571428571429,3.85714285714286
28,529,"RWANDA",714,"RWA",2002,"PRGF",16,"2002-08-12",11,15,28,54,3.375,0.6875,0.9375,1.75
29,530,"SENEGAL",722,"SEN",2003,"PRGF",12,"2003-04-28",16,22,25,63,5.25,1.33333333333333,1.83333333333333,2.08333333333333
31,532,"SIERRA LEONE",724,"SLE",2001,"PRGF",12,"2001-09-20",18,34,82,134,11.1666666666667,1.5,2.83333333333333,6.83333333333333
31,532,"SIERRA LEONE",724,"SLE",2001,"PRGF",14,"2001-09-20",11,17,49,77,5.5,0.785714285714286,1.21428571428571,3.5
31,532,"SIERRA LEONE",724,"SLE",2001,"PRGF",15,"2001-09-20",25,40,123,188,12.5333333333333,1.66666666666667,2.66666666666667,8.2
32,533,"TANZANIA",738,"TZA",2000,"PRGF",12,"2000-03-31",31,0,143,174,14.5,2.58333333333333,0,11.9166666666667
32,533,"TANZANIA",738,"TZA",2000,"PRGF",13,"2000-03-31",13,0,45,58,4.46153846153846,1,0,3.46153846153846
32,533,"TANZANIA",738,"TZA",2000,"PRGF",14,"2000-03-31",13,0,45,58,4.14285714285714,0.928571428571429,0,3.21428571428571
33,534,"TANZANIA",738,"TZA",2003,"PRGF",12,"2003-08-16",37,8,81,126,10.5,3.08333333333333,0.666666666666667,6.75
33,534,"TANZANIA",738,"TZA",2003,"PRGF",16,"2003-08-16",14,2,37,53,3.3125,0.875,0.125,2.3125
33,534,"TANZANIA",738,"TZA",2003,"PRGF",31,"2003-08-16",3,1,5,9,0.290322580645161,0.0967741935483871,0.032258064516129,0.161290322580645
36,538,"BURUNDI",618,"BDI",2004,"PRGF",12,"2004-01-23",9,19,19,47,3.91666666666667,0.75,1.58333333333333,1.58333333333333
36,538,"BURUNDI",618,"BDI",2004,"PRGF",15,"2004-01-23",11,53,36,100,6.66666666666667,0.733333333333333,3.53333333333333,2.4
36,538,"BURUNDI",618,"BDI",2004,"PRGF",16,"2004-01-23",6,41,19,66,4.125,0.375,2.5625,1.1875
38,540,"GABON",646,"GAB",2004,"EFF_SBA",5,"2004-05-28",10,30,110,150,30,2,6,22
41,543,"MALI",678,"MLI",2004,"PRGF",12,"2004-06-23",27,20,43,90,7.5,2.25,1.66666666666667,3.58333333333333
41,543,"MALI",678,"MLI",2004,"PRGF",14,"2004-06-23",20,16,50,86,6.14285714285714,1.42857142857143,1.14285714285714,3.57142857142857
42,544,"MOZAMBIQUE",688,"MOZ",2004,"PRGF",12,"2004-07-06",64,24,140,228,19,5.33333333333333,2,11.6666666666667
45,547,"ZAMBIA",754,"ZMB",2004,"PRGF",12,"2004-06-16",56,17,101,174,14.5,4.66666666666667,1.41666666666667,8.41666666666667
45,547,"ZAMBIA",754,"ZMB",2004,"PRGF",13,"2004-06-16",22,4,38,64,4.92307692307692,1.69230769230769,0.307692307692308,2.92307692307692
48,550,"CONGO, REPUBLIC OF",634,"COG",2004,"PRGF",12,"2004-12-07",12,11,24,47,3.91666666666667,1,0.916666666666667,2
48,550,"CONGO, REPUBLIC OF",634,"COG",2004,"PRGF",14,"2004-12-07",8,15,22,45,3.21428571428571,0.571428571428571,1.07142857142857,1.57142857142857
49,551,"NIGER",692,"NER",2005,"PRGF",12,"2005-01-31",61,9,60,130,10.8333333333333,5.08333333333333,0.75,5
49,551,"NIGER",692,"NER",2005,"PRGF",14,"2005-01-31",46,4,50,100,7.14285714285714,3.28571428571429,0.285714285714286,3.57142857142857
51,553,"CHAD",628,"TCD",2005,"PRGF",13,"2005-02-16",3,5,3,11,0.846153846153846,0.230769230769231,0.384615384615385,0.230769230769231
57,559,"MALAWI",676,"MWI",2005,"PRGF",12,"2005-08-05",27,16,68,111,9.25,2.25,1.33333333333333,5.66666666666667
58,560,"BENIN",638,"BEN",2005,"PRGF",12,"2005-08-05",7,20,36,63,5.25,0.583333333333333,1.66666666666667,3
58,560,"BENIN",638,"BEN",2005,"PRGF",16,"2005-08-05",12,36,89,137,8.5625,0.75,2.25,5.5625
59,561,"SAO TOME AND PRINCIPE",716,"STP",2005,"PRGF",12,"2005-08-01",44,29,147,220,18.3333333333333,3.66666666666667,2.41666666666667,12.25
61,563,"CAMEROON",622,"CMR",2005,"PRGF",12,"2005-10-24",37,0,168,205,17.0833333333333,3.08333333333333,0,14
61,563,"CAMEROON",622,"CMR",2005,"PRGF",13,"2005-10-24",22,0,120,142,10.9230769230769,1.69230769230769,0,9.23076923076923
62,564,"IRAQ",433,"IRQ",2005,"EFF_SBA",5,"2005-12-23",8,5,16,29,5.8,1.6,1,3.2
