orgorder	strucperf	arrange	countryname	arrangetype	approvaldate	durationto	quantperfcode	description	testdate	status	reviewcomment	programstatus	programtype	reviewtype
P930100001	performance	1	albania	ESAF	14.07.1993	13.07.1996	1	Domestic Credit	12.31.1993	W	Waiver granted for end-Dec. budget expenditures; treasury reporting system to be strengthened, spending plans under PIP improved, and activation of Enterprise Restructuring Agency. Waiver granted for end-Dec. NDA, where excess owed to technical reasons.	P1OC	P1	OC
P930100002	performance	1	albania	ESAF	14.07.1993	13.07.1996	2	Credit to Government/Public Sector	12.31.1993	M	Waiver granted for end-Dec. budget expenditures; treasury reporting system to be strengthened, spending plans under PIP improved, and activation of Enterprise Restructuring Agency. Waiver granted for end-Dec. NDA, where excess owed to technical reasons.	P1OC	P1	OC
P930100003	performance	1	albania	ESAF	14.07.1993	13.07.1996	3	BOP/Reserve Test	12.31.1993	M	Waiver granted for end-Dec. budget expenditures; treasury reporting system to be strengthened, spending plans under PIP improved, and activation of Enterprise Restructuring Agency. Waiver granted for end-Dec. NDA, where excess owed to technical reasons.	P1OC	P1	OC
P930100004	performance	1	albania	ESAF	14.07.1993	13.07.1996	4	Med/Long-term Ext Debt Ceiling	12.31.1993	M	Waiver granted for end-Dec. budget expenditures; treasury reporting system to be strengthened, spending plans under PIP improved, and activation of Enterprise Restructuring Agency. Waiver granted for end-Dec. NDA, where excess owed to technical reasons.	P1OC	P1	OC
P930100005	performance	1	albania	ESAF	14.07.1993	13.07.1996	5	Med/Long-term Ext Debt-Sub Ceiling	12.31.1993	M	Waiver granted for end-Dec. budget expenditures; treasury reporting system to be strengthened, spending plans under PIP improved, and activation of Enterprise Restructuring Agency. Waiver granted for end-Dec. NDA, where excess owed to technical reasons.	P1OC	P1	OC
P930100006	performance	1	albania	ESAF	14.07.1993	13.07.1996	6	Short-term Debt	12.31.1993	M	Waiver granted for end-Dec. budget expenditures; treasury reporting system to be strengthened, spending plans under PIP improved, and activation of Enterprise Restructuring Agency. Waiver granted for end-Dec. NDA, where excess owed to technical reasons.	P1OC	P1	OC
P930100007	performance	1	albania	ESAF	14.07.1993	13.07.1996	7	External Arrears	12.31.1993	M	Waiver granted for end-Dec. budget expenditures; treasury reporting system to be strengthened, spending plans under PIP improved, and activation of Enterprise Restructuring Agency. Waiver granted for end-Dec. NDA, where excess owed to technical reasons.	P1OC	P1	OC
P930100008	performance	1	albania	ESAF	14.07.1993	13.07.1996	8	No New External Arrears	Continuous	M	Waiver granted for end-Dec. budget expenditures; treasury reporting system to be strengthened, spending plans under PIP improved, and activation of Enterprise Restructuring Agency. Waiver granted for end-Dec. NDA, where excess owed to technical reasons.	P1OC	P1	OC
P930100009	performance	1	albania	ESAF	14.07.1993	13.07.1996	501	Other-Budgeting Expenditures	12.31.1993	W	Waiver granted for end-Dec. budget expenditures; treasury reporting system to be strengthened, spending plans under PIP improved, and activation of Enterprise Restructuring Agency. Waiver granted for end-Dec. NDA, where excess owed to technical reasons.	P1OC	P1	OC
P930100010	performance	1	albania	ESAF	14.07.1993	13.07.1996	502	Formulate draft PIP	12.31.1993	M	Waiver granted for end-Dec. budget expenditures; treasury reporting system to be strengthened, spending plans under PIP improved, and activation of Enterprise Restructuring Agency. Waiver granted for end-Dec. NDA, where excess owed to technical reasons.	P1OC	P1	OC
