orgorder	strucperf	arrnum	countryname	arrtype	approvaldate	initialenddate	actualenddate	boardactdate	dqpccode	dqpc	dqpcnote	testdate	revstatus	comments	units	programamt	actualamt	programtype	reviewtype
P010800001	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	16	Credit to Government/public sector		09.21.2006	M	The QC is a ceiling on net central bank financing of the government	NC (billions)	9.042	-0.501	P1	R3
P010800002	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	16	Credit to Government/public sector		03.20.2007	M	Introduced at P1R0 as an indicative target which will be converted to a performance criteria at P1R1.	NC (billions)	1.242	1.391	P1	R3
P010800003	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	16	Credit to Government/public sector		09.22.2007	M	 Introduced at P1R1 as an indicative target which will be converted to a performance criteria at P1R2. At P1R3, test date revised to 9/22/07 instead of 9/21, due to solar calendar calculations. 	NC (billions)	2.794	-4.929	P1	R3
P010800004	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	16	Credit to Government/public sector		03.20.2008	PC	Introduced at P1R2 as an indicative target which will be converted to a performance criteria at P1R3.	NC (billions)	4.703		P1	R3
P010800005	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	16	Credit to Government/public sector		09.21.2008	PC	Introduced at P1R3 as an indicative target which will be converted to a performance criteria at P1R4.	NC (billions)	0.724		P1	R3
P010800006	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	32	BOP/Reserve Test		09.21.2006	M		US$ (billions)	-0.1986	0.0989	P1	R3
P010800007	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	32	BOP/Reserve Test		03.20.2007	M	Introduced at P1R0 as an indicative target which will be converted to a performance criteria at P1R1.	US$(billions)	-0.0685	0.214	P1	R3
P010800008	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	32	BOP/Reserve Test		09.22.2007	M	 Introduced at P1R1 as an indicative target which will be converted to a performance criteria at P1R2. At P1R3, test date revised to 9/22/07 instead of 9/21, due to solar calendar calculations. 	US$(billions)	-8.7	0.3	P1	R3
P010800009	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	32	BOP/Reserve Test		03.20.2008	PC	Introduced at P1R2 as an indicative target which will be converted to a performance criteria at P1R3.	US$(billions)	0.0721		P1	R3
P010800010	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	32	BOP/Reserve Test		09.21.2008	PC	Introduced at P1R3 as an indicative target which will be converted to a performance criteria at P1R4.	US$(billions)	0.1272		P1	R3
P010800011	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	47	Medium /Long Term External Debt		Continuous	PC		US$ (billions)	0		P1	R3
P010800012	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	47	Medium /Long Term External Debt		09.21.2006	M	Met for P1R1.	US$(billions)	0	0	P1	R3
P010800013	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	47	Medium /Long Term External Debt		03.20.2007	M	Met for P1R2.	US$(billions)	0	0	P1	R3
P010800014	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	47	Medium /Long Term External Debt		09.22.2007	M	At P1R3, test date revised to 9/22/07 instead of 9/21, due to solar calendar calculations. Met for P1R3.	US$(billions)	0	0	P1	R3
P010800015	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	84	Short term Debt		Continuous	PC		US$ (billions)	0		P1	R3
P010800016	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	84	Short term Debt		09.21.2006	M	Met for P1R1.	US$(billions)	0	0	P1	R3
P010800017	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	84	Short term Debt		03.20.2007	M	Met for P1R2.	US$(billions)	0	0	P1	R3
P010800018	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	84	Short term Debt		09.22.2007	M	At P1R3, test date revised to 9/22/07 instead of 9/21, due to solar calendar calculations. Met for P1R3.	US$(billions)	0	0	P1	R3
P010800019	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	107	No New arrears/default(continuous injunction)		Continuous	PC		US$(billions)	0		P1	R3
P010800020	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	107	No New arrears/default(continuous injunction)		09.21.2006	M	Met for P1R1.	US$(billions)	0	0	P1	R3
P010800021	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	107	No New arrears/default(continuous injunction)		03.20.2007	M	Met for P1R2.	US$(billions)	0	0	P1	R3
P010800022	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	107	No New arrears/default(continuous injunction)		09.22.2007	PC	At P1R3, test date revised to 9/22/07 instead of 9/21, due to solar calendar calculations. Met for P1R3.	US$(billions)	0	0	P1	R3
P010800023	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	135	Fiscal deficit		09.21.2006	PC		NC (billions)	0.912		P1	R3
P010800024	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	10.5	Monetary statistics	Ceiling on currency in circulation	09.21.2006	M		NC (millions)	5587	3063	P1	R3
P010800025	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	7.1	Revenues	Floor on Fiscal Revenue of the government	09.22.2007	M		NC (millions)	15665	15501	P1	R3
P010800026	performance	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	5	Public enterprises, reform and restructuring	Zero ceiling on lending from state-owned banks to enterprises in need of restructuring or government guaranteering borrowing by these enterprises.	03.20.2008	PC		NC (millions)	0		P1	R3
