orgorder	strucperf	arrnum	countryname	arrtype	approvaldate	initialenddate	revisedenddate	boardactdate	econcode	econdescrpt	descpt	spc_pa_sb	testdate	revstatus	comments	programtype	reviewtype
S010800001	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	2	Trade Regime	Eliminate the discriminatory application of the 1 percent tariff rate on imports of raw materials and intermediate goods by repealing the Decree Nr. 5016, effective December 31, 2007.	PA	Third Review Prior action	M		P1	R3
S010800002	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	10.2	Central Bank reform	DAB should appoint a reputable international audit firm to audit the bank's annual financial statements for financial year 1386 (2007/2008) in accordance with International Standards on Auditing.	PA	Third Review Prior action	M		P1	R3
S010800003	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	10.5	Monetary statistics	DAB's external auditor, KPMG Afghanistan, should complete a special audit of the central bank's reserve assets reported to the IMF as of September 22, 2007. The audit should be conducted in accordance with International Standards on Auditing.	PA	Third Review Prior action	M		P1	R3
S010800004	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	2	Trade Regime	Reduce to 20 percent the 40 percent tariff rate on soft drinks established by Presidential Decree Nr. 96.	SB	03.31.2009	SB	At P1R3, Fund staff and the authorities reached an understanding that this measure will be a structural performance criterion for a later review.	P1	R3
S010800005	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	5	Public enterprises, reform and restructuring	Publish a schedule of fees charged by the Fuel and Liquid Gas Enterprise (FLGE) for its services.	SB	02.29.2008	SB		P1	R3
S010800006	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	5	Public enterprises, reform and restructuring	MoF will conclude an agreement with the DABM (electricity public enterprise) on quarterly reform benchmarks to be met by DABM throughout 2008/09 in exchange for the subsidy disbursements.	SB	03.21.2008	SB		P1	R3
S010800007	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	5	Public enterprises, reform and restructuring	MOF will conclude a comprehensive agreement with the DABM (electricity public enterprise) on a medium-term plan to reduce subsidies. 	SB	12.31.2008	SB		P1	R3
S010800008	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008	6	Privatization	Adopt a comprehensive restructuring/divestment plan for the public entities and government agencies engaged in commercial activities but not covered by the state-owned enterprises (SOEs) law.	SB	03.31.2007	DL	At P1R2, test date reset to 9/30/07.	P1	R3
S010800009	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008				SB	03.31.2008	SB		P1	R3
S010800010	structural	570	afghanistan,islamic republic of	PRGF	26.06.2006	25.06.2009		13.02.2008				SB	09.30.2007	DL	At P1R3, test date reset to 3/31/2008.	P1	R3
