programnr,Arrangement Number,Country Name,MONA Code,ISO3,Approval Year,arrtype_group,nrquarters,approvaldate,nrcondtype_pc,nrcondtype_pa,nrcondtype_sb,nrcondtype_all,avgcondtype_all,avgcondtype_pc,avgcondtype_pa,avgcondtype_sb,unsc,unsc3,unsc_t1,XDebtGNI,DebtServGNI,ResXDebt,FuelExportPct,MineralExportPct,Rohstoffabhängigkeit
83,594,ZAMBIA,754,ZMB,2008,PRGF,12,2008-06-04,12,0,108,120,10,1,0,9,0,0,0,59.4548891205874,22.0685,37.3035683405447,0.421744083665289,79.7857145794274,80.2074586630927
108,619,GHANA,652,GHA,2009,PRGF,12,2009-07-15,0,29,147,176,14.666666666666666,0,2.4166666666666665,12.25,0,0,0,71.5947385281523,11.6577,28.4806289961588,1.75329081764514,1.74904889698946,3.5023397146346
110,621,COMOROS,632,COM,2009,PRGF,12,2009-09-21,0,16,47,63,5.25,0,1.3333333333333333,3.9166666666666665,0,0,0,37.8969223253542,1.6544,52.6209862986815,0.0236698103289717,0.0372923820621511,0.0609621923911228
110,621,COMOROS,632,COM,2009,PRGF,17,2009-09-21,0,36,155,191,11.235294117647058,0,2.1176470588235294,9.117647058823529,0,0,0,37.8969223253542,1.6544,52.6209862986815,0.0236698103289717,0.0372923820621511,0.0609621923911228
112,623,ANGOLA,614,AGO,2009,EFF_SBA,9,2009-11-23,0,15,75,90,10,0,1.6666666666666667,8.333333333333334,0,0,0,102.263183257504,12.7855,67.3862436646591,97.9163484511435,2.00203147222072,99.91837992336423
112,623,ANGOLA,614,AGO,2009,EFF_SBA,10,2009-11-23,0,12,68,80,8,0,1.2,6.8,0,0,0,102.263183257504,12.7855,67.3862436646591,97.9163484511435,2.00203147222072,99.91837992336423
118,634,MAURITANIA,682,MRT,2010,PRGF,12,2010-03-15,0,0,107,107,8.916666666666666,0,0,8.916666666666666,0,0,0,93.4207451334608,30.5273,8.09372148959162,14.4296063553899,35.3547808620966,49.7843872174865
118,634,MAURITANIA,682,MRT,2010,PRGF,13,2010-03-15,0,1,80,81,6.230769230769231,0,0.07692307692307693,6.153846153846154,0,0,0,93.4207451334608,30.5273,8.09372148959162,14.4296063553899,35.3547808620966,49.7843872174865
123,641,LESOTHO,666,LSO,2010,PRGF,12,2010-06-02,0,0,66,66,5.5,0,0,5.5,0,0,0,150.102435487333,0,188.561318067165,0.0769376796124365,0.442932312242704,0.5198699918551405
123,641,LESOTHO,666,LSO,2010,PRGF,14,2010-06-02,0,0,56,56,4,0,0,4,0,0,0,150.102435487333,0,188.561318067165,0.0769376796124365,0.442932312242704,0.5198699918551405
149,686,CENTRAL AFRICAN REPUBLIC,626,CAF,2012,PRGF,8,2012-06-25,0,2,14,16,2,0,0.25,1.75,0,0,0,33.0594485943314,17.3583,25.1925333983863,0.046403868360573,57.8085217674326,57.85492563579317
158,699,TUNISIA,744,TUN,2013,EFF_SBA,8,2013-06-07,0,3,127,130,16.25,0,0.375,15.875,0,0,0,98.9549566862038,25.0238,28.7486211611694,15.2132858501248,1.49740188611581,16.710687736240608
158,699,TUNISIA,744,TUN,2013,EFF_SBA,10,2013-06-07,0,6,135,141,14.1,0,0.6,13.5,0,0,0,98.9549566862038,25.0238,28.7486211611694,15.2132858501248,1.49740188611581,16.710687736240608
174,725,GHANA,652,GHA,2015,PRGF,12,2015-04-03,0,35,98,133,11.083333333333334,0,2.9166666666666665,8.166666666666666,0,0,0,76.5212709243242,10.5541,18.3432463946771,21.7019621780148,1.53114850582018,23.23311068383498
174,725,GHANA,652,GHA,2015,PRGF,16,2015-04-03,0,59,182,241,15.0625,0,3.6875,11.375,0,0,0,76.5212709243242,10.5541,18.3432463946771,21.7019621780148,1.53114850582018,23.23311068383498
180,735,TUNISIA,744,TUN,2016,EFF_SBA,16,2016-05-20,0,72,252,324,20.25,0,4.5,15.75,0,0,0,87.0926643641466,22.6706,20.7845127192957,5.6449759317471,1.62468650036307,7.26966243211017
184,742,MADAGASCAR,674,MDG,2016,PRGF,14,2016-07-27,0,40,159,199,14.214285714285714,0,2.857142857142857,11.357142857142858,0,0,0,60.8346984831423,6.8678,39.7637876951396,2.55520071174556,24.9275155512368,27.48271626298236
