programnr,Arrangement Number,Country Name,MONA Code,ISO3,Approval Year,arrtype_group,nrquarters,approvaldate,nrcondtype_pc,nrcondtype_pa,nrcondtype_sb,nrcondtype_all,avgcondtype_all,avgcondtype_pc,avgcondtype_pa,avgcondtype_sb,unsc,unsc3,unsc_t1,XDebtGNI,DebtServGNI,ResXDebt,FuelExportPct,MineralExportPct,Rohstoffabhängigkeit
1,501,UGANDA,746,UGA,2002,PRGF,12,2002-09-13,32,8,98,138,11.5,2.6666666666666665,0.6666666666666666,8.166666666666666,0,0,0,36.2777941561831,3.9426,23.2351513193553,3.63329549166036,1.81303780824033,5.44633329990069
1,501,UGANDA,746,UGA,2002,PRGF,13,2002-09-13,10,8,36,54,4.153846153846154,0.7692307692307693,0.6153846153846154,2.769230769230769,0,0,0,36.2777941561831,3.9426,23.2351513193553,3.63329549166036,1.81303780824033,5.44633329990069
1,501,UGANDA,746,UGA,2002,PRGF,14,2002-09-13,10,8,37,55,3.9285714285714284,0.7142857142857143,0.5714285714285714,2.642857142857143,0,0,0,36.2777941561831,3.9426,23.2351513193553,3.63329549166036,1.81303780824033,5.44633329990069
3,503,COLOMBIA,233,COL,2003,EFF_SBA,8,2003-01-15,7,0,71,78,9.75,0.875,0,8.875,0,0,0,36.51618351723,9.5273,29.2577821652215,37.1903540205232,1.01255652251846,38.20291054304166
3,503,COLOMBIA,233,COL,2003,EFF_SBA,9,2003-01-15,3,0,25,28,3.111111111111111,0.3333333333333333,0,2.7777777777777777,0,0,0,36.51618351723,9.5273,29.2577821652215,37.1903540205232,1.01255652251846,38.20291054304166
4,505,JORDAN,439,JOR,2002,EFF_SBA,8,2002-07-03,8,12,23,43,5.375,1,1.5,2.875,0,0,0,114.03885781572,40.9143,31.6261918101737,0.00638352187104476,16.7360177189512,16.742401240822243
6,507,ALBANIA,914,ALB,2002,PRGF,12,2002-06-21,17,38,167,222,18.5,1.4166666666666667,3.1666666666666665,13.916666666666666,0,0,0,65.9914650336802,2.4594,73.3688144776657,2.00964296137502,3.43255983968605,5.44220280106107
6,507,ALBANIA,914,ALB,2002,PRGF,14,2002-06-21,24,25,132,181,12.928571428571429,1.7142857142857142,1.7857142857142858,9.428571428571429,0,0,0,65.9914650336802,2.4594,73.3688144776657,2.00964296137502,3.43255983968605,5.44220280106107
7,508,ARGENTINA,213,ARG,2003,EFF_SBA,9,2003-09-20,25,0,13,38,4.222222222222222,2.7777777777777777,0,1.4444444444444444,0,0,0,40.6447480311085,13.6967,8.66192564142803,17.0830633855413,3.00518542990703,20.08824881544833
7,508,ARGENTINA,213,ARG,2003,EFF_SBA,12,2003-09-20,26,0,17,43,3.5833333333333335,2.1666666666666665,0,1.4166666666666667,0,0,0,40.6447480311085,13.6967,8.66192564142803,17.0830633855413,3.00518542990703,20.08824881544833
8,509,ECUADOR,248,ECU,2003,EFF_SBA,4,2003-03-21,29,25,13,67,16.75,7.25,6.25,3.25,0,0,0,52.3575426975979,8.5831,5.83353234017495,43.1626885974467,0.188013321764884,43.35070191921159
9,510,ARGENTINA,213,ARG,2003,EFF_SBA,2,2003-01-24,56,0,39,95,47.5,28,0,19.5,0,0,0,40.6447480311085,13.6967,8.66192564142803,17.0830633855413,3.00518542990703,20.08824881544833
10,511,BANGLADESH,513,BGD,2003,PRGF,12,2003-06-20,16,36,21,73,6.083333333333333,1.3333333333333333,3,1.75,0,0,0,27.657884900158,3.3459,14.2330258441052,0.32333946274161,0.0234516661687324,0.3467911289103424
10,511,BANGLADESH,513,BGD,2003,PRGF,14,2003-06-20,18,47,20,85,6.071428571428571,1.2857142857142858,3.357142857142857,1.4285714285714286,0,0,0,27.657884900158,3.3459,14.2330258441052,0.32333946274161,0.0234516661687324,0.3467911289103424
10,511,BANGLADESH,513,BGD,2003,PRGF,16,2003-06-20,12,25,15,52,3.25,0.75,1.5625,0.9375,0,0,0,27.657884900158,3.3459,14.2330258441052,0.32333946274161,0.0234516661687324,0.3467911289103424
11,512,BOLIVIA,218,BOL,2003,EFF_SBA,4,2003-04-02,17,10,9,36,9,4.25,2.5,2.25,0,0,0,51.967836443987,5.6618,18.7059258345077,30.1389419296459,17.6932791680357,47.8322210976816
11,512,BOLIVIA,218,BOL,2003,EFF_SBA,7,2003-04-02,19,12,22,53,7.571428571428571,2.7142857142857144,1.7142857142857142,3.142857142857143,0,0,0,51.967836443987,5.6618,18.7059258345077,30.1389419296459,17.6932791680357,47.8322210976816
11,512,BOLIVIA,218,BOL,2003,EFF_SBA,12,2003-04-02,28,25,49,102,8.5,2.3333333333333335,2.0833333333333335,4.083333333333333,0,0,0,51.967836443987,5.6618,18.7059258345077,30.1389419296459,17.6932791680357,47.8322210976816
12,513,BRAZIL,223,BRA,2002,EFF_SBA,5,2002-09-06,5,0,77,82,16.4,1,0,15.4,0,0,0,27.6183574022309,10.0864,16.3108841746678,4.88298916852666,8.74037070967909,13.62335987820575
12,513,BRAZIL,223,BRA,2002,EFF_SBA,10,2002-09-06,6,0,159,165,16.5,0.6,0,15.9,0,0,0,27.6183574022309,10.0864,16.3108841746678,4.88298916852666,8.74037070967909,13.62335987820575
20,521,GHANA,652,GHA,2003,PRGF,12,2003-05-09,17,26,36,79,6.583333333333333,1.4166666666666667,2.1666666666666665,3,0,0,0,97.2871457139532,9.1218,17.7094465886763,0.0481803318787904,2.46857072038619,2.5167510522649805
20,521,GHANA,652,GHA,2003,PRGF,14,2003-05-09,41,42,65,148,10.571428571428571,2.9285714285714284,3,4.642857142857143,0,0,0,97.2871457139532,9.1218,17.7094465886763,0.0481803318787904,2.46857072038619,2.5167510522649805
21,522,GUATEMALA,258,GTM,2002,EFF_SBA,4,2002-04-01,0,8,6,14,3.5,0,2,1.5,0,0,0,67.1048115244645,27.226,52.4245593320643,7.15402228818343,0.524514055435472,7.6785363436189025
22,523,GUATEMALA,258,GTM,2003,EFF_SBA,3,2003-06-18,2,1,7,10,3.3333333333333335,0.6666666666666666,0.3333333333333333,2.3333333333333335,0,0,0,67.0023391862425,30.435,56.7120212913201,8.19705664111192,0.385124889688843,8.582181530800764
23,524,KENYA,664,KEN,2003,PRGF,12,2003-11-21,16,10,20,46,3.8333333333333335,1.3333333333333333,0.8333333333333334,1.6666666666666667,0,0,0,54.132265895729,10.3024,22.0714590468592,19.1551044918056,2.9543556082054,22.109460100011
23,524,KENYA,664,KEN,2003,PRGF,16,2003-11-21,36,18,48,102,6.375,2.25,1.125,3,0,0,0,54.132265895729,10.3024,22.0714590468592,19.1551044918056,2.9543556082054,22.109460100011
25,526,NEPAL,558,NPL,2003,PRGF,12,2003-11-19,23,9,33,65,5.416666666666667,1.9166666666666667,0.75,2.75,0,0,0,44.2478836156195,1.7116,40.0291042230548,0.00357579146798016,4.29431059801483,4.2978863894828105
25,526,NEPAL,558,NPL,2003,PRGF,16,2003-11-19,101,15,107,223,13.9375,6.3125,0.9375,6.6875,0,0,0,44.2478836156195,1.7116,40.0291042230548,0.00357579146798016,4.29431059801483,4.2978863894828105
26,527,NICARAGUA,278,NIC,2002,PRGF,12,2002-12-04,32,36,142,210,17.5,2.6666666666666665,3,11.833333333333334,0,0,0,58.0912844080785,8.635,7.0369086044675,1.64675180288481,0.551183282742895,2.197935085627705
