"ISO3","Year","avgcondtype_all","nrcondtype_all","nrcondtype_pc","nrcondtype_pa","nrcondtype_sb","avgcondtype_pc","avgcondtype_pa","avgcondtype_sb","FuelExportPct","MineralExportPct","XDebtGNI","DebtServGNI","ResXDebt","unsc","unsc_t1","unsc3","Rohstoffabhängigkeit"
"AGO",2009,9,85,0,13.5,71.5,0,1.43333333333333,7.56666666666666,97.9163484511435,2.00203147222072,102.263183257504,12.7855,67.3862436646591,0,0,0,99.9183799233642
"AGO",2018,12.6378205128205,154,0,13.5,140.5,0,1.11217948717949,11.525641025641,95.6723202169276,2.9599977992618,58.2698953890633,4.5827,24.9393651478579,0,0,0,98.6323180161894
"CMR",2005,14.0032051282051,173.5,29.5,0,144,2.38782051282051,0,11.6153846153846,56.8647779866486,4.78205402791316,44.9976813478478,4.3352,12.5290160988282,0,0,0,61.6468320145618
"CMR",2017,18.8621794871795,231.5,0,27,204.5,0,2.20192307692307,16.6602564102564,43.4494115764582,5.59093811728154,39.1990216052629,5.2499,31.8093315326756,0,0,0,49.0403496937397
"CPV",2022,6.83333333333333,94,0,0,94,0,0,6.83333333333333,0,0.00576283024949212,96.9941368513357,16.4615,30.3660227232231,0,0,0,0.00576283024949212
"GAB",2004,30,150,10,30,110,2,6,22,76.1833932062393,5.50841106598959,81.7675371418698,4.4504,10.9219293951205,0,0,0,81.6918042722289
"GAB",2007,7.83333333333333,94,24,18,52,2,1.5,4.33333333333333,83.4131671985386,3.60059532421835,85.1324791636578,8.6978,24.1251490739474,0,0,0,87.0137625227569
"GAB",2017,14.5833333333333,175,0,41,134,0,3.41666666666667,11.1666666666667,62.2945642697917,3.31591796865075,75.0687404456638,3.151,14.6694853489707,0,0,0,65.6104822384424
"GAB",2021,5.66666666666667,68,0,9,59,0,0.75,4.91666666666667,52.3128650846528,6.75461904672039,85.3483122054787,0.2149,16.6511067504691,0,0,0,59.0674841313732
"GHA",2003,8.57738095238096,113.5,29,34,50.5,2.17261904761905,2.58333333333333,3.82142857142857,0.0481803318787904,2.46857072038619,97.2871457139532,9.1218,17.7094465886763,0,0,0,2.51675105226498
"GHA",2009,14.6666666666667,176,0,29,147,0,2.41666666666667,12.25,1.75329081764514,1.74904889698946,71.5947385281523,11.6577,28.4806289961588,0,0,0,3.5023397146346
"GHA",2015,13.0729166666667,187,0,47,140,0,3.30208333333333,9.77083333333334,21.7019621780148,1.53114850582018,76.5212709243242,10.5541,18.3432463946771,0,0,0,23.233110683835
"GHA",2023,15.1666666666667,182,0,37,145,0,3.08333333333333,12.0833333333333,24.5298166225955,3.79789972324939,64.3878615301086,9.0197,8.69027246258012,1,1,1,28.3277163458449
"GIN",2007,4.91666666666667,59,22,18,19,1.83333333333333,1.5,1.58333333333333,0.864102683278354,73.4419716903088,71.1210322265015,4.0248,1.41713322716656,0,0,0,74.3060743735872
"KEN",2003,5.10416666666667,74,26,14,34,1.79166666666666,0.979166666666667,2.33333333333333,19.1551044918056,2.9543556082054,54.132265895729,10.3024,22.0714590468592,0,0,0,22.109460100011
"MDG",2006,11.9166666666667,143,55,28,60,4.58333333333333,2.33333333333333,5,5.51020605465603,3.60694833869441,62.1028389370244,14.4483,38.1916091358978,0,0,0,9.11715439335044
"MDG",2016,8.50714285714285,120.5,0,24.5,96,0,1.72857142857143,6.77857142857145,2.55520071174556,24.9275155512368,60.8346984831423,6.8678,39.7637876951396,0,0,0,27.4827162629824
"MDG",2021,6.58791208791208,90,0,10,80,0,0.733516483516484,5.8543956043956,1.17584586276708,31.3612347027315,55.2158585927485,4.3029,43.6790686321069,0,0,0,32.5370805654986
"MDG",2024,6.75,81,0,15,66,0,1.25,5.5,2.55012561538512,32.8646357716195,57.5370213293734,1.5271,41.85063947352,0,0,0,35.4147613870046
"MOZ",2004,19,228,64,24,140,5.33333333333333,2,11.6666666666667,12.4214437884527,61.5258863677345,72.0520001612374,13.0988,19.3590661440903,0,0,0,73.9473301561872
"MOZ",2022,9.16666666666667,110,0,20,90,0,1.66666666666667,7.5,50.7186898345651,30.4675661590987,135.274535098995,2.3487,4.43318049163302,0,0,0,81.1862559936638
"MRT",2010,7.57371794871795,94,0,0.5,93.5,0,0.0384615384615384,7.53525641025641,14.4296063553899,35.3547808620966,93.4207451334608,30.5273,8.09372148959162,0,0,0,49.7843872174865
"RWA",2002,5.86309523809524,79.6666666666667,18.3333333333333,20,41.3333333333333,1.3640873015873,1.46329365079365,3.03571428571429,0,35.088175963992,31.3172752974708,3.0151,16.7853483670789,0,0,0,35.088175963992
"RWA",2006,5.91987179487179,72,16.5,9,46.5,1.35576923076923,0.740384615384616,3.82371794871795,0.00416015534860654,31.4407560198606,33.6578390444203,4.4204,88.0507090626504,0,0,0,31.4449161752092
"SLE",2017,2.5,15,0,4,11,0,0.666666666666667,1.83333333333333,0.0564669332343084,9.23607569467904,41.5213782343591,10.8705,30.6035747879682,0,0,0,9.29254262791335
"SLE",2018,4.3733918128655,82,0,28.6666666666667,53.3333333333333,0,1.51228070175439,2.86111111111111,0.143317650742994,19.708507181177,37.3774603119412,10.282,27.3394520213469,0,0,0,19.85182483192
"UGA",2002,6.52747252747253,82.3333333333333,17.3333333333333,8,57,1.38339438339438,0.617826617826618,4.52625152625153,3.63329549166036,1.81303780824033,36.2777941561831,3.9426,23.2351513193553,0,0,0,5.44633329990069
"UGA",2021,16.6666666666667,200,0,55,145,0,4.58333333333333,12.0833333333333,3.44411222230529,0.744614230461867,41.7136307424781,8.572,23.6012010395494,0,0,0,4.18872645276716
"ZMB",2004,9.71153846153846,119,39,10.5,69.5,3.17948717948718,0.862179487179489,5.66987179487179,1.98338581633262,46.5515777026805,70.8130749317722,1.8132,4.46591430694416,0,0,0,48.5349635190131
"ZMB",2008,10,120,12,0,108,1,0,9,0.421744083665289,79.7857145794274,59.4548891205874,22.0685,37.3035683405447,0,0,0,80.2074586630927
"ZMB",2022,13.4725274725275,178.5,0,30.5,148,0,2.31318681318681,11.1593406593407,2.81611636018103,75.6024881567735,69.2973154193203,9.5849,10.4405689268511,0,0,0,78.4186045169545
