"ISO3","Year","total_cond","rohstoff_cond","stabil_cond","sonstige_cond","avgcondtype_all","rohstoff_cond_share","stabil_cond_share"
"AFG",2006,288,40,177,92,0.753472222222222,0.138888888888889,0.614583333333333
"AFG",2011,54,5,27,26,0.592592592592593,0.0925925925925926,0.5
"AFG",2016,277,21,157,117,0.642599277978339,0.075812274368231,0.566787003610108
"AFG",2020,16,0,12,4,0.75,0,0.75
"AGO",2009,170,0,152,18,0.894117647058824,0,0.894117647058824
"AGO",2018,308,5,193,115,0.642857142857143,0.0162337662337662,0.626623376623377
"ALB",2002,403,23,322,58,0.856079404466501,0.0570719602977667,0.799007444168734
"ALB",2006,361,9,275,77,0.786703601108033,0.0249307479224377,0.761772853185596
"ALB",2014,536,19,421,96,0.82089552238806,0.0354477611940298,0.78544776119403
"ARG",2003,176,10,96,80,0.602272727272727,0.0568181818181818,0.545454545454545
"ARG",2018,74,5,74,0,1.06756756756757,0.0675675675675676,1
"ARG",2022,390,66,285,70,0.9,0.169230769230769,0.730769230769231
"ARG",2025,53,12,30,14,0.792452830188679,0.226415094339623,0.566037735849057
"ARM",2005,198,5,157,41,0.818181818181818,0.0252525252525253,0.792929292929293
"ARM",2008,12,4,12,0,1.33333333333333,0.333333333333333,1
"ARM",2009,44,14,28,9,0.954545454545455,0.318181818181818,0.636363636363636
"ARM",2010,167,4,112,55,0.694610778443114,0.0239520958083832,0.67065868263473
"ARM",2014,195,28,131,58,0.815384615384615,0.143589743589744,0.671794871794872
"ARM",2019,182,8,87,89,0.521978021978022,0.043956043956044,0.478021978021978
"ARM",2022,218,17,158,43,0.802752293577982,0.0779816513761468,0.724770642201835
"ARM",2025,13,0,11,2,0.846153846153846,0,0.846153846153846
"BDI",2004,213,38,133,43,0.802816901408451,0.178403755868545,0.624413145539906
"BDI",2008,210,11,152,55,0.776190476190476,0.0523809523809524,0.723809523809524
"BDI",2012,145,0,142,3,0.979310344827586,0,0.979310344827586
"BDI",2023,8,0,8,0,1,0,1
"BEN",2005,200,16,112,72,0.64,0.08,0.56
"BEN",2010,229,29,167,33,0.85589519650655,0.126637554585153,0.729257641921397
"BEN",2017,216,0,177,39,0.819444444444444,0,0.819444444444444
"BEN",2022,152,4,93,55,0.638157894736842,0.0263157894736842,0.611842105263158
"BFA",2003,158,11,141,6,0.962025316455696,0.069620253164557,0.892405063291139
"BFA",2007,164,11,141,14,0.926829268292683,0.0670731707317073,0.859756097560976
