programnr,Arrangement Number,Country Name,MONA Code,ISO3,Approval Year,arrtype_group,nrquarters,approvaldate,nrcondtype_pc,nrcondtype_pa,nrcondtype_sb,nrcondtype_all,avgcondtype_all,avgcondtype_pc,avgcondtype_pa,avgcondtype_sb
1,501,UGANDA,746,UGA,2002,PRGF,12,2002-09-13,32,8,98,138,11.5,2.6666666666666665,0.6666666666666666,8.166666666666666
1,501,UGANDA,746,UGA,2002,PRGF,13,2002-09-13,10,8,36,54,4.153846153846154,0.7692307692307693,0.6153846153846154,2.769230769230769
1,501,UGANDA,746,UGA,2002,PRGF,14,2002-09-13,10,8,37,55,3.9285714285714284,0.7142857142857143,0.5714285714285714,2.642857142857143
2,502,TAJIKISTAN,923,TJK,2002,PRGF,12,2002-12-11,54,36,63,153,12.75,4.5,3,5.25
2,502,TAJIKISTAN,923,TJK,2002,PRGF,13,2002-12-11,43,18,46,107,8.23076923076923,3.3076923076923075,1.3846153846153846,3.5384615384615383
3,503,COLOMBIA,233,COL,2003,EFF_SBA,8,2003-01-15,7,0,71,78,9.75,0.875,0,8.875
3,503,COLOMBIA,233,COL,2003,EFF_SBA,9,2003-01-15,3,0,25,28,3.111111111111111,0.3333333333333333,0,2.7777777777777777
4,505,JORDAN,439,JOR,2002,EFF_SBA,8,2002-07-03,8,12,23,43,5.375,1,1.5,2.875
5,506,BOSNIA AND HERZEGOVINA,963,BIH,2002,EFF_SBA,5,2002-08-02,4,19,52,75,15,0.8,3.8,10.4
5,506,BOSNIA AND HERZEGOVINA,963,BIH,2002,EFF_SBA,6,2002-08-02,2,15,19,36,6,0.3333333333333333,2.5,3.1666666666666665
6,507,ALBANIA,914,ALB,2002,PRGF,12,2002-06-21,17,38,167,222,18.5,1.4166666666666667,3.1666666666666665,13.916666666666666
6,507,ALBANIA,914,ALB,2002,PRGF,14,2002-06-21,24,25,132,181,12.928571428571429,1.7142857142857142,1.7857142857142858,9.428571428571429
7,508,ARGENTINA,213,ARG,2003,EFF_SBA,9,2003-09-20,25,0,13,38,4.222222222222222,2.7777777777777777,0,1.4444444444444444
7,508,ARGENTINA,213,ARG,2003,EFF_SBA,12,2003-09-20,26,0,17,43,3.5833333333333335,2.1666666666666665,0,1.4166666666666667
8,509,ECUADOR,248,ECU,2003,EFF_SBA,4,2003-03-21,29,25,13,67,16.75,7.25,6.25,3.25
9,510,ARGENTINA,213,ARG,2003,EFF_SBA,2,2003-01-24,56,0,39,95,47.5,28,0,19.5
10,511,BANGLADESH,513,BGD,2003,PRGF,12,2003-06-20,16,36,21,73,6.083333333333333,1.3333333333333333,3,1.75
10,511,BANGLADESH,513,BGD,2003,PRGF,14,2003-06-20,18,47,20,85,6.071428571428571,1.2857142857142858,3.357142857142857,1.4285714285714286
10,511,BANGLADESH,513,BGD,2003,PRGF,16,2003-06-20,12,25,15,52,3.25,0.75,1.5625,0.9375
11,512,BOLIVIA,218,BOL,2003,EFF_SBA,4,2003-04-02,17,10,9,36,9,4.25,2.5,2.25
11,512,BOLIVIA,218,BOL,2003,EFF_SBA,7,2003-04-02,19,12,22,53,7.571428571428571,2.7142857142857144,1.7142857142857142,3.142857142857143
11,512,BOLIVIA,218,BOL,2003,EFF_SBA,12,2003-04-02,28,25,49,102,8.5,2.3333333333333335,2.0833333333333335,4.083333333333333
12,513,BRAZIL,223,BRA,2002,EFF_SBA,5,2002-09-06,5,0,77,82,16.4,1,0,15.4
12,513,BRAZIL,223,BRA,2002,EFF_SBA,10,2002-09-06,6,0,159,165,16.5,0.6,0,15.9
13,514,BURKINA FASO,748,BFA,2003,PRGF,12,2003-06-11,8,6,11,25,2.0833333333333335,0.6666666666666666,0.5,0.9166666666666666
13,514,BURKINA FASO,748,BFA,2003,PRGF,13,2003-06-11,45,22,66,133,10.23076923076923,3.4615384615384617,1.6923076923076923,5.076923076923077
14,515,CAPE VERDE,624,CPV,2002,PRGF,11,2002-04-10,15,4,28,47,4.2727272727272725,1.3636363636363635,0.36363636363636365,2.5454545454545454
14,515,CAPE VERDE,624,CPV,2002,PRGF,12,2002-04-10,9,6,13,28,2.3333333333333335,0.75,0.5,1.0833333333333333
14,515,CAPE VERDE,624,CPV,2002,PRGF,13,2002-04-10,18,4,38,60,4.615384615384615,1.3846153846153846,0.3076923076923077,2.923076923076923
15,516,COTE D'IVOIRE,662,CIV,2002,PRGF,12,2002-03-27,5,5,4,14,1.1666666666666667,0.4166666666666667,0.4166666666666667,0.3333333333333333
16,517,CROATIA,960,HRV,2003,EFF_SBA,4,2003-02-03,1,6,5,12,3,0.25,1.5,1.25
16,517,CROATIA,960,HRV,2003,EFF_SBA,5,2003-02-03,2,24,19,45,9,0.4,4.8,3.8
17,518,DOMINICA,321,DMA,2002,EFF_SBA,4,2002-08-28,1,1,13,15,3.75,0.25,0.25,3.25
17,518,DOMINICA,321,DMA,2002,EFF_SBA,5,2002-08-28,1,3,18,22,4.4,0.2,0.6,3.6
17,518,DOMINICA,321,DMA,2002,EFF_SBA,6,2002-08-28,1,3,18,22,3.6666666666666665,0.16666666666666666,0.5,3
18,519,DOMINICA,321,DMA,2003,PRGF,12,2003-12-29,10,18,94,122,10.166666666666666,0.8333333333333334,1.5,7.833333333333333
19,520,"GAMBIA, THE",648,GMB,2002,PRGF,12,2002-07-23,0,3,5,8,0.6666666666666666,0,0.25,0.4166666666666667
20,521,GHANA,652,GHA,2003,PRGF,12,2003-05-09,17,26,36,79,6.583333333333333,1.4166666666666667,2.1666666666666665,3
20,521,GHANA,652,GHA,2003,PRGF,14,2003-05-09,41,42,65,148,10.571428571428571,2.9285714285714284,3,4.642857142857143
21,522,GUATEMALA,258,GTM,2002,EFF_SBA,4,2002-04-01,0,8,6,14,3.5,0,2,1.5
22,523,GUATEMALA,258,GTM,2003,EFF_SBA,3,2003-06-18,2,1,7,10,3.3333333333333335,0.6666666666666666,0.3333333333333333,2.3333333333333335
23,524,KENYA,664,KEN,2003,PRGF,12,2003-11-21,16,10,20,46,3.8333333333333335,1.3333333333333333,0.8333333333333334,1.6666666666666667
23,524,KENYA,664,KEN,2003,PRGF,16,2003-11-21,36,18,48,102,6.375,2.25,1.125,3
24,525,MAURITANIA,682,MRT,2003,PRGF,5,2003-07-18,3,3,7,13,2.6,0.6,0.6,1.4
25,526,NEPAL,558,NPL,2003,PRGF,12,2003-11-19,23,9,33,65,5.416666666666667,1.9166666666666667,0.75,2.75
25,526,NEPAL,558,NPL,2003,PRGF,16,2003-11-19,101,15,107,223,13.9375,6.3125,0.9375,6.6875
26,527,NICARAGUA,278,NIC,2002,PRGF,12,2002-12-04,32,36,142,210,17.5,2.6666666666666665,3,11.833333333333334
26,527,NICARAGUA,278,NIC,2002,PRGF,16,2002-12-04,25,44,109,178,11.125,1.5625,2.75,6.8125
26,527,NICARAGUA,278,NIC,2002,PRGF,32,2002-12-04,12,22,55,89,2.78125,0.375,0.6875,1.71875
27,528,PARAGUAY,288,PRY,2003,EFF_SBA,5,2003-12-15,27,22,27,76,15.2,5.4,4.4,5.4
27,528,PARAGUAY,288,PRY,2003,EFF_SBA,7,2003-12-15,41,42,40,123,17.571428571428573,5.857142857142857,6,5.714285714285714
27,528,PARAGUAY,288,PRY,2003,EFF_SBA,8,2003-12-15,14,14,14,42,5.25,1.75,1.75,1.75
28,529,RWANDA,714,RWA,2002,PRGF,12,2002-08-12,22,20,42,84,7,1.8333333333333333,1.6666666666666667,3.5
28,529,RWANDA,714,RWA,2002,PRGF,14,2002-08-12,22,25,54,101,7.214285714285714,1.5714285714285714,1.7857142857142858,3.857142857142857
28,529,RWANDA,714,RWA,2002,PRGF,16,2002-08-12,11,15,28,54,3.375,0.6875,0.9375,1.75
29,530,SENEGAL,722,SEN,2003,PRGF,12,2003-04-28,16,22,25,63,5.25,1.3333333333333333,1.8333333333333333,2.0833333333333335
30,531,ROMANIA,968,ROU,2004,EFF_SBA,8,2004-07-07,27,46,22,95,11.875,3.375,5.75,2.75
31,532,SIERRA LEONE,724,SLE,2001,PRGF,12,2001-09-20,18,34,82,134,11.166666666666666,1.5,2.8333333333333335,6.833333333333333
31,532,SIERRA LEONE,724,SLE,2001,PRGF,14,2001-09-20,11,17,49,77,5.5,0.7857142857142857,1.2142857142857142,3.5
31,532,SIERRA LEONE,724,SLE,2001,PRGF,15,2001-09-20,25,40,123,188,12.533333333333333,1.6666666666666667,2.6666666666666665,8.2
32,533,TANZANIA,738,TZA,2000,PRGF,12,2000-03-31,31,0,143,174,14.5,2.5833333333333335,0,11.916666666666666
32,533,TANZANIA,738,TZA,2000,PRGF,13,2000-03-31,13,0,45,58,4.461538461538462,1,0,3.4615384615384617
32,533,TANZANIA,738,TZA,2000,PRGF,14,2000-03-31,13,0,45,58,4.142857142857143,0.9285714285714286,0,3.2142857142857144
33,534,TANZANIA,738,TZA,2003,PRGF,12,2003-08-16,37,8,81,126,10.5,3.0833333333333335,0.6666666666666666,6.75
33,534,TANZANIA,738,TZA,2003,PRGF,16,2003-08-16,14,2,37,53,3.3125,0.875,0.125,2.3125
33,534,TANZANIA,738,TZA,2003,PRGF,31,2003-08-16,3,1,5,9,0.2903225806451613,0.0967741935483871,0.03225806451612903,0.16129032258064516
34,535,URUGUAY,298,URY,2002,EFF_SBA,8,2002-04-01,3,2,27,32,4,0.375,0.25,3.375
34,535,URUGUAY,298,URY,2002,EFF_SBA,12,2002-04-01,110,66,204,380,31.666666666666668,9.166666666666666,5.5,17
35,537,SERBIA AND MONTENEGRO,965,XS,2002,EFF_SBA,12,2002-05-13,21,21,162,204,17,1.75,1.75,13.5
35,537,SERBIA AND MONTENEGRO,965,XS,2002,EFF_SBA,15,2002-05-13,34,32,138,204,13.6,2.2666666666666666,2.1333333333333333,9.2
36,538,BURUNDI,618,BDI,2004,PRGF,12,2004-01-23,9,19,19,47,3.9166666666666665,0.75,1.5833333333333333,1.5833333333333333
36,538,BURUNDI,618,BDI,2004,PRGF,15,2004-01-23,11,53,36,100,6.666666666666667,0.7333333333333333,3.533333333333333,2.4
36,538,BURUNDI,618,BDI,2004,PRGF,16,2004-01-23,6,41,19,66,4.125,0.375,2.5625,1.1875
37,539,DOMINICAN REPUBLIC,243,DOM,2003,EFF_SBA,6,2003-08-29,9,18,16,43,7.166666666666667,1.5,3,2.6666666666666665
37,539,DOMINICAN REPUBLIC,243,DOM,2003,EFF_SBA,8,2003-08-29,4,8,8,20,2.5,0.5,1,1
38,540,GABON,646,GAB,2004,EFF_SBA,5,2004-05-28,10,30,110,150,30,2,6,22
39,541,GEORGIA,915,GEO,2004,PRGF,12,2004-06-04,52,20,90,162,13.5,4.333333333333333,1.6666666666666667,7.5
39,541,GEORGIA,915,GEO,2004,PRGF,13,2004-06-04,32,8,57,97,7.461538461538462,2.4615384615384617,0.6153846153846154,4.384615384615385
40,542,HONDURAS,268,HND,2004,PRGF,12,2004-02-18,40,19,56,115,9.583333333333334,3.3333333333333335,1.5833333333333333,4.666666666666667
41,543,MALI,678,MLI,2004,PRGF,12,2004-06-23,27,20,43,90,7.5,2.25,1.6666666666666667,3.5833333333333335
41,543,MALI,678,MLI,2004,PRGF,14,2004-06-23,20,16,50,86,6.142857142857143,1.4285714285714286,1.1428571428571428,3.5714285714285716
42,544,MOZAMBIQUE,688,MOZ,2004,PRGF,12,2004-07-06,64,24,140,228,19,5.333333333333333,2,11.666666666666666
43,545,PERU,293,PER,2004,EFF_SBA,9,2004-06-09,13,0,30,43,4.777777777777778,1.4444444444444444,0,3.3333333333333335
44,546,UKRAINE,926,UKR,2004,EFF_SBA,4,2004-03-29,3,5,3,11,2.75,0.75,1.25,0.75
45,547,ZAMBIA,754,ZMB,2004,PRGF,12,2004-06-16,56,17,101,174,14.5,4.666666666666667,1.4166666666666667,8.416666666666666
45,547,ZAMBIA,754,ZMB,2004,PRGF,13,2004-06-16,22,4,38,64,4.923076923076923,1.6923076923076923,0.3076923076923077,2.923076923076923
46,548,CROATIA,960,HRV,2004,EFF_SBA,7,2004-08-04,2,10,23,35,5,0.2857142857142857,1.4285714285714286,3.2857142857142856
46,548,CROATIA,960,HRV,2004,EFF_SBA,9,2004-08-04,1,10,19,30,3.3333333333333335,0.1111111111111111,1.1111111111111112,2.111111111111111
47,549,BULGARIA,918,BGR,2004,EFF_SBA,8,2004-08-06,26,15,51,92,11.5,3.25,1.875,6.375
47,549,BULGARIA,918,BGR,2004,EFF_SBA,9,2004-08-06,6,2,10,18,2,0.6666666666666666,0.2222222222222222,1.1111111111111112
47,549,BULGARIA,918,BGR,2004,EFF_SBA,11,2004-08-06,47,20,79,146,13.272727272727273,4.2727272727272725,1.8181818181818181,7.181818181818182
48,550,"CONGO, REPUBLIC OF",634,COG,2004,PRGF,12,2004-12-07,12,11,24,47,3.9166666666666665,1,0.9166666666666666,2
48,550,"CONGO, REPUBLIC OF",634,COG,2004,PRGF,14,2004-12-07,8,15,22,45,3.2142857142857144,0.5714285714285714,1.0714285714285714,1.5714285714285714
49,551,NIGER,692,NER,2005,PRGF,12,2005-01-31,61,9,60,130,10.833333333333334,5.083333333333333,0.75,5
49,551,NIGER,692,NER,2005,PRGF,14,2005-01-31,46,4,50,100,7.142857142857143,3.2857142857142856,0.2857142857142857,3.5714285714285716
50,552,DOMINICAN REPUBLIC,243,DOM,2005,EFF_SBA,9,2005-01-31,50,70,55,175,19.444444444444443,5.555555555555555,7.777777777777778,6.111111111111111
50,552,DOMINICAN REPUBLIC,243,DOM,2005,EFF_SBA,12,2005-01-31,107,126,92,325,27.083333333333332,8.916666666666666,10.5,7.666666666666667
51,553,CHAD,628,TCD,2005,PRGF,13,2005-02-16,3,5,3,11,0.8461538461538461,0.23076923076923078,0.38461538461538464,0.23076923076923078
52,554,KYRGYZ REPUBLIC,917,KGZ,2005,PRGF,12,2005-02-23,3,0,95,98,8.166666666666666,0.25,0,7.916666666666667
52,554,KYRGYZ REPUBLIC,917,KGZ,2005,PRGF,13,2005-02-23,2,0,60,62,4.769230769230769,0.15384615384615385,0,4.615384615384615
53,555,COLOMBIA,233,COL,2005,EFF_SBA,6,2005-05-02,10,4,44,58,9.666666666666666,1.6666666666666667,0.6666666666666666,7.333333333333333
54,556,TURKEY,186,TUR,2005,EFF_SBA,12,2005-05-11,67,66,198,331,27.583333333333332,5.583333333333333,5.5,16.5
55,557,ARMENIA,911,ARM,2005,PRGF,12,2005-05-25,62,14,122,198,16.5,5.166666666666667,1.1666666666666667,10.166666666666666
56,558,URUGUAY,298,URY,2005,EFF_SBA,6,2005-06-08,25,6,14,45,7.5,4.166666666666667,1,2.3333333333333335
56,558,URUGUAY,298,URY,2005,EFF_SBA,12,2005-06-08,76,22,46,144,12,6.333333333333333,1.8333333333333333,3.8333333333333335
57,559,MALAWI,676,MWI,2005,PRGF,12,2005-08-05,27,16,68,111,9.25,2.25,1.3333333333333333,5.666666666666667
58,560,BENIN,638,BEN,2005,PRGF,12,2005-08-05,7,20,36,63,5.25,0.5833333333333334,1.6666666666666667,3
58,560,BENIN,638,BEN,2005,PRGF,16,2005-08-05,12,36,89,137,8.5625,0.75,2.25,5.5625
59,561,SAO TOME AND PRINCIPE,716,STP,2005,PRGF,12,2005-08-01,44,29,147,220,18.333333333333332,3.6666666666666665,2.4166666666666665,12.25
60,562,"NORTH MACEDONIA, REPUBLIC OF",962,MKD,2005,EFF_SBA,12,2005-08-31,48,18,164,230,19.166666666666668,4,1.5,13.666666666666666
61,563,CAMEROON,622,CMR,2005,PRGF,12,2005-10-24,37,0,168,205,17.083333333333332,3.0833333333333335,0,14
61,563,CAMEROON,622,CMR,2005,PRGF,13,2005-10-24,22,0,120,142,10.923076923076923,1.6923076923076923,0,9.23076923076923
62,564,IRAQ,433,IRQ,2005,EFF_SBA,5,2005-12-23,8,5,16,29,5.8,1.6,1,3.2
62,564,IRAQ,433,IRQ,2005,EFF_SBA,7,2005-12-23,9,6,14,29,4.142857142857143,1.2857142857142858,0.8571428571428571,2
62,564,IRAQ,433,IRQ,2005,EFF_SBA,8,2005-12-23,11,6,14,31,3.875,1.375,0.75,1.75
63,566,GRENADA,328,GRD,2006,PRGF,12,2006-04-17,0,0,7,7,0.5833333333333334,0,0,0.5833333333333334
63,566,GRENADA,328,GRD,2006,PRGF,16,2006-04-17,5,19,113,137,8.5625,0.3125,1.1875,7.0625
64,567,MOLDOVA,921,MDA,2006,PRGF,12,2006-05-05,60,51,142,253,21.083333333333332,5,4.25,11.833333333333334
65,568,PARAGUAY,288,PRY,2006,EFF_SBA,9,2006-05-31,12,0,120,132,14.666666666666666,1.3333333333333333,0,13.333333333333334
66,569,RWANDA,714,RWA,2006,PRGF,12,2006-06-05,27,15,77,119,9.916666666666666,2.25,1.25,6.416666666666667
66,569,RWANDA,714,RWA,2006,PRGF,13,2006-06-05,6,3,16,25,1.9230769230769231,0.46153846153846156,0.23076923076923078,1.2307692307692308
67,570,"AFGHANISTAN,ISLAMIC REPUBLIC OF",512,AFG,2006,PRGF,12,2006-06-26,12,9,130,151,12.583333333333334,1,0.75,10.833333333333334
67,570,"AFGHANISTAN,ISLAMIC REPUBLIC OF",512,AFG,2006,PRGF,15,2006-06-26,5,9,52,66,4.4,0.3333333333333333,0.6,3.466666666666667
67,570,"AFGHANISTAN,ISLAMIC REPUBLIC OF",512,AFG,2006,PRGF,16,2006-06-26,5,9,57,71,4.4375,0.3125,0.5625,3.5625
68,571,MADAGASCAR,674,MDG,2006,PRGF,12,2006-07-21,55,28,60,143,11.916666666666666,4.583333333333333,2.3333333333333335,5
69,572,HAITI,263,HTI,2006,PRGF,12,2006-11-20,111,45,77,233,19.416666666666668,9.25,3.75,6.416666666666667
69,572,HAITI,263,HTI,2006,PRGF,13,2006-11-20,32,10,31,73,5.615384615384615,2.4615384615384617,0.7692307692307693,2.3846153846153846
69,572,HAITI,263,HTI,2006,PRGF,14,2006-11-20,32,10,31,73,5.214285714285714,2.2857142857142856,0.7142857142857143,2.2142857142857144
70,573,SIERRA LEONE,724,SLE,2006,PRGF,12,2006-05-10,7,21,10,38,3.1666666666666665,0.5833333333333334,1.75,0.8333333333333334
70,573,SIERRA LEONE,724,SLE,2006,PRGF,16,2006-05-10,46,68,70,184,11.5,2.875,4.25,4.375
70,573,SIERRA LEONE,724,SLE,2006,PRGF,17,2006-05-10,13,18,24,55,3.235294117647059,0.7647058823529411,1.0588235294117647,1.411764705882353
71,574,MAURITANIA,682,MRT,2006,PRGF,12,2006-12-18,14,4,29,47,3.9166666666666665,1.1666666666666667,0.3333333333333333,2.4166666666666665
72,575,CENTRAL AFRICAN REPUBLIC,626,CAF,2006,PRGF,12,2006-12-22,37,9,27,73,6.083333333333333,3.0833333333333335,0.75,2.25
