id,year,security_council_member,last_update
1,1946,Australia,2026-07-02
2,1946,Brazil,2026-07-02
3,1946,China,2026-07-02
4,1946,Egypt,2026-07-02
5,1946,France,2026-07-02
6,1946,Mexico,2026-07-02
7,1946,Netherlands,2026-07-02
8,1946,Poland,2026-07-02
9,1946,United Kingdom of Great Britain and Northern Ireland,2026-07-02
10,1946,United States of America,2026-07-02
11,1946,USSR (Union of Soviet Socialist Republics),2026-07-02
12,1947,Australia,2026-07-02
13,1947,Belgium,2026-07-02
14,1947,Brazil,2026-07-02
15,1947,China,2026-07-02
16,1947,Colombia,2026-07-02
17,1947,France,2026-07-02
18,1947,Poland,2026-07-02
19,1947,Syrian Arab Republic,2026-07-02
20,1947,United Kingdom of Great Britain and Northern Ireland,2026-07-02
21,1947,United States of America,2026-07-02
22,1947,USSR (Union of Soviet Socialist Republics),2026-07-02
23,1948,Argentina,2026-07-02
24,1948,Belgium,2026-07-02
25,1948,Canada,2026-07-02
26,1948,China,2026-07-02
27,1948,Colombia,2026-07-02
28,1948,France,2026-07-02
29,1948,Syrian Arab Republic,2026-07-02
30,1948,Ukrainian SSR (Ukrainian Soviet Socialist Republic),2026-07-02
31,1948,United Kingdom of Great Britain and Northern Ireland,2026-07-02
32,1948,United States of America,2026-07-02
33,1948,USSR (Union of Soviet Socialist Republics),2026-07-02
34,1949,Argentina,2026-07-02
35,1949,Canada,2026-07-02
36,1949,China,2026-07-02
37,1949,Cuba,2026-07-02
38,1949,Egypt,2026-07-02
39,1949,France,2026-07-02
40,1949,Norway,2026-07-02
41,1949,Ukrainian SSR (Ukrainian Soviet Socialist Republic),2026-07-02
42,1949,United Kingdom of Great Britain and Northern Ireland,2026-07-02
43,1949,United States of America,2026-07-02
44,1949,USSR (Union of Soviet Socialist Republics),2026-07-02
45,1950,China,2026-07-02
46,1950,Cuba,2026-07-02
47,1950,Ecuador,2026-07-02
48,1950,Egypt,2026-07-02
49,1950,France,2026-07-02
50,1950,India,2026-07-02
51,1950,Norway,2026-07-02
52,1950,United Kingdom of Great Britain and Northern Ireland,2026-07-02
53,1950,United States of America,2026-07-02
54,1950,USSR (Union of Soviet Socialist Republics),2026-07-02
