ISO3,Country,Year,Member.Type,unsc
BGR,Bulgaria,2002,Non-Permanent,1
CMR,Cameroon,2002,Non-Permanent,1
CHN,China,2002,Permanent,1
COL,Colombia,2002,Non-Permanent,1
FRA,France,2002,Permanent,1
GIN,Guinea,2002,Non-Permanent,1
IRL,Ireland,2002,Non-Permanent,1
MUS,Mauritius,2002,Non-Permanent,1
MEX,Mexico,2002,Non-Permanent,1
NOR,Norway,2002,Non-Permanent,1
SGP,Singapore,2002,Non-Permanent,1
SYR,Syrian Arab Republic,2002,Non-Permanent,1
AGO,Angola,2003,Non-Permanent,1
BGR,Bulgaria,2003,Non-Permanent,1
CMR,Cameroon,2003,Non-Permanent,1
CHL,Chile,2003,Non-Permanent,1
CHN,China,2003,Permanent,1
FRA,France,2003,Permanent,1
DEU,Germany,2003,Non-Permanent,1
GIN,Guinea,2003,Non-Permanent,1
MEX,Mexico,2003,Non-Permanent,1
PAK,Pakistan,2003,Non-Permanent,1
ESP,Spain,2003,Non-Permanent,1
SYR,Syrian Arab Republic,2003,Non-Permanent,1
DZA,Algeria,2004,Non-Permanent,1
AGO,Angola,2004,Non-Permanent,1
BEN,Benin,2004,Non-Permanent,1
BRA,Brazil,2004,Non-Permanent,1
CHL,Chile,2004,Non-Permanent,1
CHN,China,2004,Permanent,1
FRA,France,2004,Permanent,1
DEU,Germany,2004,Non-Permanent,1
PAK,Pakistan,2004,Non-Permanent,1
PHL,Philippines,2004,Non-Permanent,1
ROU,Romania,2004,Non-Permanent,1
ESP,Spain,2004,Non-Permanent,1
DZA,Algeria,2005,Non-Permanent,1
ARG,Argentina,2005,Non-Permanent,1
BEN,Benin,2005,Non-Permanent,1
BRA,Brazil,2005,Non-Permanent,1
CHN,China,2005,Permanent,1
DNK,Denmark,2005,Non-Permanent,1
FRA,France,2005,Permanent,1
GRC,Greece,2005,Non-Permanent,1
JPN,Japan,2005,Non-Permanent,1
PHL,Philippines,2005,Non-Permanent,1
ROU,Romania,2005,Non-Permanent,1
ARG,Argentina,2006,Non-Permanent,1
CHN,China,2006,Permanent,1
COG,Congo,2006,Non-Permanent,1
DNK,Denmark,2006,Non-Permanent,1
FRA,France,2006,Permanent,1
GHA,Ghana,2006,Non-Permanent,1
GRC,Greece,2006,Non-Permanent,1
JPN,Japan,2006,Non-Permanent,1
PER,Peru,2006,Non-Permanent,1
QAT,Qatar,2006,Non-Permanent,1
BEL,Belgium,2007,Non-Permanent,1
CHN,China,2007,Permanent,1
COG,Congo,2007,Non-Permanent,1
FRA,France,2007,Permanent,1
GHA,Ghana,2007,Non-Permanent,1
IDN,Indonesia,2007,Non-Permanent,1
ITA,Italy,2007,Non-Permanent,1
PAN,Panama,2007,Non-Permanent,1
PER,Peru,2007,Non-Permanent,1
QAT,Qatar,2007,Non-Permanent,1
ZAF,South Africa,2007,Non-Permanent,1
BEL,Belgium,2008,Non-Permanent,1
BFA,Burkina Faso,2008,Non-Permanent,1
CHN,China,2008,Permanent,1
CRI,Costa Rica,2008,Non-Permanent,1
HRV,Croatia,2008,Non-Permanent,1
FRA,France,2008,Permanent,1
IDN,Indonesia,2008,Non-Permanent,1
ITA,Italy,2008,Non-Permanent,1
LBY,Libya,2008,Non-Permanent,1
PAN,Panama,2008,Non-Permanent,1
ZAF,South Africa,2008,Non-Permanent,1
AUT,Austria,2009,Non-Permanent,1
BFA,Burkina Faso,2009,Non-Permanent,1
CHN,China,2009,Permanent,1
CRI,Costa Rica,2009,Non-Permanent,1
HRV,Croatia,2009,Non-Permanent,1
FRA,France,2009,Permanent,1
JPN,Japan,2009,Non-Permanent,1
LBY,Libya,2009,Non-Permanent,1
MEX,Mexico,2009,Non-Permanent,1
TUR,Türkiye,2009,Non-Permanent,1
UGA,Uganda,2009,Non-Permanent,1
AUT,Austria,2010,Non-Permanent,1
BIH,Bosnia and Herzegovina,2010,Non-Permanent,1
BRA,Brazil,2010,Non-Permanent,1
CHN,China,2010,Permanent,1
FRA,France,2010,Permanent,1
GAB,Gabon,2010,Non-Permanent,1
JPN,Japan,2010,Non-Permanent,1
LBN,Lebanon,2010,Non-Permanent,1
MEX,Mexico,2010,Non-Permanent,1
NGA,Nigeria,2010,Non-Permanent,1
TUR,Türkiye,2010,Non-Permanent,1
UGA,Uganda,2010,Non-Permanent,1
BIH,Bosnia and Herzegovina,2011,Non-Permanent,1
BRA,Brazil,2011,Non-Permanent,1
CHN,China,2011,Permanent,1
COL,Colombia,2011,Non-Permanent,1
FRA,France,2011,Permanent,1
GAB,Gabon,2011,Non-Permanent,1
DEU,Germany,2011,Non-Permanent,1
IND,India,2011,Non-Permanent,1
LBN,Lebanon,2011,Non-Permanent,1
NGA,Nigeria,2011,Non-Permanent,1
PRT,Portugal,2011,Non-Permanent,1
ZAF,South Africa,2011,Non-Permanent,1
AZE,Azerbaijan,2012,Non-Permanent,1
CHN,China,2012,Permanent,1
COL,Colombia,2012,Non-Permanent,1
FRA,France,2012,Permanent,1
DEU,Germany,2012,Non-Permanent,1
GTM,Guatemala,2012,Non-Permanent,1
IND,India,2012,Non-Permanent,1
MAR,Morocco,2012,Non-Permanent,1
