"ISO3","year","unsc","unsc_t1","unsc3"
"ALB",1946,0,0,0
"DZA",1946,0,0,0
"AGO",1946,0,0,0
"ARG",1946,0,0,0
"AUS",1946,1,0,1
"AUT",1946,0,0,0
"AZE",1946,0,0,0
"BHR",1946,0,0,0
"BGD",1946,0,0,0
"BLR",1946,0,0,0
"BEL",1946,0,0,0
"BEN",1946,0,0,0
"BIH",1946,0,0,0
"BWA",1946,0,0,0
"BRA",1946,1,0,1
"BGR",1946,0,0,0
"BFA",1946,0,0,0
"BDI",1946,0,0,0
"CPV",1946,0,0,0
"CMR",1946,0,0,0
"CAN",1946,0,0,0
"TCD",1946,0,0,0
"CHL",1946,0,0,0
"CHN",1946,1,0,1
"COL",1946,0,0,0
"CRI",1946,0,0,0
"HRV",1946,0,0,0
"CUB",1946,0,0,0
"CZE",1946,0,0,0
"DNK",1946,0,0,0
"DJI",1946,0,0,0
"DOM",1946,0,0,0
"ECU",1946,0,0,0
"GNQ",1946,0,0,0
"EST",1946,0,0,0
"ETH",1946,0,0,0
"FIN",1946,0,0,0
"FRA",1946,1,0,1
"GAB",1946,0,0,0
"DEU",1946,0,0,0
"GHA",1946,0,0,0
"GRC",1946,0,0,0
"GTM",1946,0,0,0
"GIN",1946,0,0,0
"GNB",1946,0,0,0
"GUY",1946,0,0,0
"HND",1946,0,0,0
"HUN",1946,0,0,0
"IND",1946,0,0,0
"IDN",1946,0,0,0
"IRQ",1946,0,0,0
"IRL",1946,0,0,0
"ITA",1946,0,0,0
"JAM",1946,0,0,0
"JPN",1946,0,0,0
"JOR",1946,0,0,0
"KAZ",1946,0,0,0
"KEN",1946,0,0,0
"KWT",1946,0,0,0
"LVA",1946,0,0,0
"LBN",1946,0,0,0
"LBR",1946,0,0,0
"LBY",1946,0,0,0
"LTU",1946,0,0,0
"LUX",1946,0,0,0
"MDG",1946,0,0,0
"MYS",1946,0,0,0
"MLI",1946,0,0,0
"MLT",1946,0,0,0
"MRT",1946,0,0,0
"MUS",1946,0,0,0
"MEX",1946,1,0,1
"MAR",1946,0,0,0
