year,country,unsc,unsc_t1,unsc3,wdicode
2002,NA,0,0,0,AGO
2002,NA,0,0,0,BDI
2002,NA,0,0,0,BEN
2002,NA,0,0,0,BFA
2002,NA,0,0,0,BWA
2002,NA,0,0,0,CAF
2002,NA,0,0,0,CIV
2002,Cameroon,1,0,1,CMR
2002,NA,0,0,0,COD
2002,NA,0,0,0,COG
2002,NA,0,0,0,COM
2002,NA,0,0,0,CPV
2002,NA,0,0,0,DJI
2002,NA,0,0,0,DZA
2002,NA,0,0,0,EGY
2002,NA,0,0,0,ERI
2002,NA,0,0,0,ETH
2002,NA,0,0,0,GAB
2002,NA,0,0,0,GHA
2002,Guinea,1,0,1,GIN
2002,NA,0,0,0,GMB
2002,NA,0,0,0,GNB
2002,NA,0,0,0,GNQ
2002,NA,0,0,0,KEN
2002,NA,0,0,0,LBR
2002,NA,0,0,0,LBY
2002,NA,0,0,0,LSO
2002,NA,0,0,0,MAR
2002,NA,0,0,0,MDG
2002,NA,0,0,0,MLI
2002,NA,0,0,0,MOZ
2002,NA,0,0,0,MRT
2002,Mauritius,1,0,1,MUS
2002,NA,0,0,0,MWI
2002,NA,0,0,0,NAM
2002,NA,0,0,0,NER
2002,NA,0,0,0,NGA
2002,NA,0,0,0,RWA
2002,NA,0,0,0,SDN
2002,NA,0,0,0,SEN
2002,NA,0,0,0,SLE
2002,NA,0,0,0,SOM
2002,NA,0,0,0,SSD
2002,NA,0,0,0,STP
2002,NA,0,0,0,SWZ
2002,NA,0,0,0,SYC
2002,NA,0,0,0,TCD
2002,NA,0,0,0,TGO
2002,NA,0,0,0,TUN
2002,NA,0,0,0,TZA
2002,NA,0,0,0,UGA
2002,NA,0,0,0,ZAF
2002,NA,0,0,0,ZMB
2002,NA,0,0,0,ZWE
2003,Angola,1,0,1,AGO
2003,NA,0,0,0,BDI
2003,NA,0,0,0,BEN
2003,NA,0,0,0,BFA
2003,NA,0,0,0,BWA
2003,NA,0,0,0,CAF
2003,NA,0,0,0,CIV
2003,Cameroon,1,1,1,CMR
2003,NA,0,0,0,COD
2003,NA,0,0,0,COG
2003,NA,0,0,0,COM
2003,NA,0,0,0,CPV
2003,NA,0,0,0,DJI
2003,NA,0,0,0,DZA
2003,NA,0,0,0,EGY
2003,NA,0,0,0,ERI
2003,NA,0,0,0,ETH
2003,NA,0,0,0,GAB
2003,NA,0,0,0,GHA
2003,Guinea,1,1,1,GIN
2003,NA,0,0,0,GMB
2003,NA,0,0,0,GNB
2003,NA,0,0,0,GNQ
2003,NA,0,0,0,KEN
2003,NA,0,0,0,LBR
2003,NA,0,0,0,LBY
2003,NA,0,0,0,LSO
2003,NA,0,0,0,MAR
2003,NA,0,0,0,MDG
2003,NA,0,0,0,MLI
2003,NA,0,0,0,MOZ
2003,NA,0,0,0,MRT
2003,NA,0,1,1,MUS
2003,NA,0,0,0,MWI
2003,NA,0,0,0,NAM
2003,NA,0,0,0,NER
2003,NA,0,0,0,NGA
2003,NA,0,0,0,RWA
2003,NA,0,0,0,SDN
2003,NA,0,0,0,SEN
2003,NA,0,0,0,SLE
2003,NA,0,0,0,SOM
2003,NA,0,0,0,SSD
2003,NA,0,0,0,STP
2003,NA,0,0,0,SWZ
2003,NA,0,0,0,SYC
2003,NA,0,0,0,TCD
2003,NA,0,0,0,TGO
2003,NA,0,0,0,TUN
2003,NA,0,0,0,TZA
2003,NA,0,0,0,UGA
2003,NA,0,0,0,ZAF
2003,NA,0,0,0,ZMB
2003,NA,0,0,0,ZWE
2004,Angola,1,1,1,AGO
2004,NA,0,0,0,BDI
2004,Benin,1,0,1,BEN
2004,NA,0,0,0,BFA
2004,NA,0,0,0,BWA
2004,NA,0,0,0,CAF
2004,NA,0,0,0,CIV
2004,NA,0,1,1,CMR
2004,NA,0,0,0,COD
2004,NA,0,0,0,COG
2004,NA,0,0,0,COM
2004,NA,0,0,0,CPV
2004,NA,0,0,0,DJI
2004,Algeria,1,0,1,DZA
2004,NA,0,0,0,EGY
2004,NA,0,0,0,ERI
2004,NA,0,0,0,ETH
2004,NA,0,0,0,GAB
2004,NA,0,0,0,GHA
2004,NA,0,1,1,GIN
2004,NA,0,0,0,GMB
2004,NA,0,0,0,GNB
2004,NA,0,0,0,GNQ
2004,NA,0,0,0,KEN
2004,NA,0,0,0,LBR
2004,NA,0,0,0,LBY
2004,NA,0,0,0,LSO
2004,NA,0,0,0,MAR
2004,NA,0,0,0,MDG
2004,NA,0,0,0,MLI
2004,NA,0,0,0,MOZ
2004,NA,0,0,0,MRT
2004,NA,0,0,0,MUS
2004,NA,0,0,0,MWI
2004,NA,0,0,0,NAM
2004,NA,0,0,0,NER
2004,NA,0,0,0,NGA
2004,NA,0,0,0,RWA
2004,NA,0,0,0,SDN
2004,NA,0,0,0,SEN
2004,NA,0,0,0,SLE
2004,NA,0,0,0,SOM
2004,NA,0,0,0,SSD
2004,NA,0,0,0,STP
2004,NA,0,0,0,SWZ
2004,NA,0,0,0,SYC
2004,NA,0,0,0,TCD
2004,NA,0,0,0,TGO
2004,NA,0,0,0,TUN
2004,NA,0,0,0,TZA
2004,NA,0,0,0,UGA
2004,NA,0,0,0,ZAF
2004,NA,0,0,0,ZMB
2004,NA,0,0,0,ZWE
2005,NA,0,1,1,AGO
2005,NA,0,0,0,BDI
2005,Benin,1,1,1,BEN
2005,NA,0,0,0,BFA
2005,NA,0,0,0,BWA
2005,NA,0,0,0,CAF
2005,NA,0,0,0,CIV
2005,NA,0,0,0,CMR
2005,NA,0,0,0,COD
2005,NA,0,0,0,COG
2005,NA,0,0,0,COM
2005,NA,0,0,0,CPV
2005,NA,0,0,0,DJI
2005,Algeria,1,1,1,DZA
2005,NA,0,0,0,EGY
2005,NA,0,0,0,ERI
2005,NA,0,0,0,ETH
2005,NA,0,0,0,GAB
2005,NA,0,0,0,GHA
2005,NA,0,0,0,GIN
2005,NA,0,0,0,GMB
2005,NA,0,0,0,GNB
2005,NA,0,0,0,GNQ
2005,NA,0,0,0,KEN
2005,NA,0,0,0,LBR
2005,NA,0,0,0,LBY
2005,NA,0,0,0,LSO
2005,NA,0,0,0,MAR
2005,NA,0,0,0,MDG
2005,NA,0,0,0,MLI
2005,NA,0,0,0,MOZ
2005,NA,0,0,0,MRT
2005,NA,0,0,0,MUS
2005,NA,0,0,0,MWI
2005,NA,0,0,0,NAM
2005,NA,0,0,0,NER
2005,NA,0,0,0,NGA
2005,NA,0,0,0,RWA
2005,NA,0,0,0,SDN
2005,NA,0,0,0,SEN
2005,NA,0,0,0,SLE
2005,NA,0,0,0,SOM
2005,NA,0,0,0,SSD
2005,NA,0,0,0,STP
2005,NA,0,0,0,SWZ
2005,NA,0,0,0,SYC
2005,NA,0,0,0,TCD
2005,NA,0,0,0,TGO
2005,NA,0,0,0,TUN
2005,NA,0,0,0,TZA
2005,NA,0,0,0,UGA
2005,NA,0,0,0,ZAF
2005,NA,0,0,0,ZMB
2005,NA,0,0,0,ZWE
2006,NA,0,0,0,AGO
2006,NA,0,0,0,BDI
2006,NA,0,1,1,BEN
2006,NA,0,0,0,BFA
2006,NA,0,0,0,BWA
2006,NA,0,0,0,CAF
2006,NA,0,0,0,CIV
2006,NA,0,0,0,CMR
2006,NA,0,0,0,COD
2006,Congo,1,0,1,COG
2006,NA,0,0,0,COM
2006,NA,0,0,0,CPV
2006,NA,0,0,0,DJI
2006,NA,0,1,1,DZA
2006,NA,0,0,0,EGY
2006,NA,0,0,0,ERI
2006,NA,0,0,0,ETH
2006,NA,0,0,0,GAB
2006,Ghana,1,0,1,GHA
2006,NA,0,0,0,GIN
2006,NA,0,0,0,GMB
2006,NA,0,0,0,GNB
2006,NA,0,0,0,GNQ
2006,NA,0,0,0,KEN
2006,NA,0,0,0,LBR
2006,NA,0,0,0,LBY
2006,NA,0,0,0,LSO
2006,NA,0,0,0,MAR
2006,NA,0,0,0,MDG
2006,NA,0,0,0,MLI
2006,NA,0,0,0,MOZ
2006,NA,0,0,0,MRT
2006,NA,0,0,0,MUS
2006,NA,0,0,0,MWI
2006,NA,0,0,0,NAM
2006,NA,0,0,0,NER
2006,NA,0,0,0,NGA
2006,NA,0,0,0,RWA
2006,NA,0,0,0,SDN
2006,NA,0,0,0,SEN
2006,NA,0,0,0,SLE
2006,NA,0,0,0,SOM
2006,NA,0,0,0,SSD
2006,NA,0,0,0,STP
2006,NA,0,0,0,SWZ
2006,NA,0,0,0,SYC
2006,NA,0,0,0,TCD
2006,NA,0,0,0,TGO
2006,NA,0,0,0,TUN
2006,NA,0,0,0,TZA
2006,NA,0,0,0,UGA
2006,NA,0,0,0,ZAF
2006,NA,0,0,0,ZMB
2006,NA,0,0,0,ZWE
2007,NA,0,0,0,AGO
2007,NA,0,0,0,BDI
2007,NA,0,0,0,BEN
2007,NA,0,0,0,BFA
2007,NA,0,0,0,BWA
2007,NA,0,0,0,CAF
2007,NA,0,0,0,CIV
2007,NA,0,0,0,CMR
2007,NA,0,0,0,COD
2007,Congo,1,1,1,COG
2007,NA,0,0,0,COM
2007,NA,0,0,0,CPV
2007,NA,0,0,0,DJI
2007,NA,0,0,0,DZA
2007,NA,0,0,0,EGY
2007,NA,0,0,0,ERI
2007,NA,0,0,0,ETH
2007,NA,0,0,0,GAB
2007,Ghana,1,1,1,GHA
2007,NA,0,0,0,GIN
2007,NA,0,0,0,GMB
2007,NA,0,0,0,GNB
2007,NA,0,0,0,GNQ
2007,NA,0,0,0,KEN
2007,NA,0,0,0,LBR
2007,NA,0,0,0,LBY
2007,NA,0,0,0,LSO
2007,NA,0,0,0,MAR
2007,NA,0,0,0,MDG
2007,NA,0,0,0,MLI
2007,NA,0,0,0,MOZ
2007,NA,0,0,0,MRT
2007,NA,0,0,0,MUS
2007,NA,0,0,0,MWI
2007,NA,0,0,0,NAM
2007,NA,0,0,0,NER
2007,NA,0,0,0,NGA
2007,NA,0,0,0,RWA
2007,NA,0,0,0,SDN
2007,NA,0,0,0,SEN
2007,NA,0,0,0,SLE
2007,NA,0,0,0,SOM
2007,NA,0,0,0,SSD
2007,NA,0,0,0,STP
2007,NA,0,0,0,SWZ
2007,NA,0,0,0,SYC
