Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,Africa Eastern and Southern,AFE,11.3133195108096,19.8438057233785,12.8714839439035,17.7012185330208,19.6742313126308,20.595251405437,25.5331422429342,22.1943600721959,21.3728614318005,20.3387562933284,21.6730422248286,21.7823875013114,19.775359413035,20.0688387251043,19.2856836813389,20.1521044340872,18.8550564853315,19.3710823884947,19.6126242857926,22.2500363354775,24.7557765172883,27.7273106688415,24.953767912307,23.4891099023945,22.7545089595902,..
Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,Africa Western and Central,AFW,4.10463183183001,4.18437841299906,3.43288330776563,2.1831163623974,..,..,2.36055598689792,3.67087730015844,3.61111819826856,1.90807310994598,2.54736673777905,1.97010834762719,1.61765880694995,3.05170235570345,3.29013284354698,2.76499697323678,2.55302480063292,2.31783671404334,2.21115062478375,2.50607667870656,2.51423976891489,3.20494253327793,2.74734173097439,3.89863932946242,..,..
Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,Arab World,ARB,2.1968752104048,2.44516150784513,1.81485000417548,1.69833444548615,1.38934246055418,2.05221056216139,1.38974678048152,1.37629313830285,1.68129506142737,1.39393804240898,1.56099936143827,1.71178890688184,2.25424781507765,2.11973744371733,2.53977081289251,3.55788732168717,3.71378624069752,3.93864577851418,4.12034501559519,3.27946434261924,3.62270430131925,4.41277343081027,4.27917669864771,4.16376337381061,..,..
Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,Caribbean small states,CSS,1.47809583321157,1.70140006998347,1.00229305178777,0.950466996659103,0.93192271857136,1.08085784408797,1.09009738924162,3.50402424151986,3.88719542392502,3.0386725169175,1.7202121355627,1.6078710338345,1.48127621785955,1.74359831837355,1.78113689441581,3.62975262084261,3.39257761695708,1.1646209822388,1.40866815288473,1.52633476190562,2.41904503257917,1.07758747329592,1.33525408921277,3.20762406213057,1.8471807617558,..
Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,Central Europe and the Baltics,CEB,4.04376810712284,3.38577137700164,3.15009769484025,3.03040195533541,3.41312893863327,3.29384608294205,4.25612643374768,3.83459143440259,3.50585400257544,3.03591568766912,3.76224621176961,4.00138763546707,3.85047283836851,3.38978842844842,3.15954445998867,2.81976971444065,2.40735226221936,2.70809290229967,2.68716302758945,2.60595601132375,2.64426309811735,3.19855420178435,2.8700597782423,2.49413121938374,2.70486143383882,..
Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,Early-demographic dividend,EAR,3.62439187838117,3.98694504381761,3.60829581543405,3.93641582827051,4.62460910768269,5.2711636547565,5.98576242660954,6.49488964973309,5.85526026685855,5.68880132445854,6.26721978178808,6.07682757858667,5.64111862683416,5.28357804293673,4.99032592993388,4.86040254156627,4.95100197138329,5.369830210544,5.39783177107184,5.7585682806578,6.60455428974976,7.54043705791533,7.07156640150422,7.39082126709526,6.89159519156266,..
Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,East Asia & Pacific,EAS,2.34848909191654,2.26523952777701,2.14500598142117,2.22429570567293,2.51210467011221,2.65998605761012,3.25089341668361,3.39255079531295,3.22259467692029,2.74274074808161,3.45262044884145,3.7756846340339,3.30083602085572,3.39916846160357,3.55947731777634,3.23253287321565,2.90074096847216,2.84792204883006,2.89006067497012,3.00846706926636,3.32495428297061,3.82867535328805,3.35527695581796,3.44006572010384,3.48066214824861,..
Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,East Asia & Pacific (excluding high income),EAP,1.99121883591101,1.89044330778029,1.74782375711485,1.81667185907306,2.06083396576651,2.03200674236969,2.47200152377072,2.31647199266487,1.96635700032021,1.59506629336269,1.88256918424556,2.06873552180146,1.79793782408955,1.80478888206865,1.74494820742359,1.74907189230073,1.68520259550608,1.79866425111088,1.96949879874451,1.92677937250961,1.83253365426549,2.20917213914471,2.31674530076433,2.16260858466896,2.33481173207761,..
Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,East Asia & Pacific (IDA & IBRD countries),TEA,1.99121883591101,1.89044330778029,1.74782375711485,1.81667185907306,2.0608339657665,2.03200674236969,2.47200152377072,2.31647199266487,1.96635700032021,1.59506629336269,1.88256918424556,2.06873552180146,1.79793951212296,1.80478888206865,1.74494907900874,1.74907220448644,1.68520253791232,1.79866744352738,1.96949907442383,1.92677937250961,1.83253365426549,2.20917213914471,2.31674530076433,2.16260858466896,2.33481173207761,..
Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,Euro area,EMU,2.32939660588529,2.22569120818123,2.10945325961122,2.05947957841381,2.30512079717741,2.45717661864952,3.20683999077057,3.2009270614569,2.90416145755415,2.41324709554284,3.07055909097521,3.31356124391036,3.09338454923252,2.77441199624258,2.70391050030591,2.59280307784155,2.40337393724055,2.67913598497936,2.77409043924576,2.70387524808409,2.86517897224313,3.42125043861332,3.18281576997125,2.78933513287557,2.85326275404225,..
