Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
GDP (current US$),NY.GDP.MKTP.CD,Africa Eastern and Southern,AFE,287042463739.689,260850392951.828,269746460052.503,358116678901.082,445975553009.759,521562847473.691,587454940473.207,674947497627.662,726711167541.424,726850536901.436,863749634744.9,959740239662.05,969171197494.148,981203198866.08,998727180531.477,909905339457.167,832661416653.091,979240640383.155,1021971569379.4,1019354194063.69,938546103425.609,1113059797223.9,1226461319482.05,1179121535535.41,1252564134751.16,1358694050872.54
GDP (current US$),NY.GDP.MKTP.CD,Africa Western and Central,AFW,142700161610.021,150714426912.027,180129182230.86,208646527354.852,257939299771.648,316515667947.119,402077365740.543,470947616490.786,574259808704.062,515037106035.585,605794323433.602,691133400013.242,748030003656.774,844187976557.843,904094866776.536,778037497377.313,699979485002.844,694206358825.098,777805844264.864,1026527768676.04,963688197941.774,1026670180885.97,1063748247138.21,938480674635.085,737366967283.718,852526995230.254
GDP (current US$),NY.GDP.MKTP.CD,Arab World,ARB,763400074351.443,744564338442.53,746768175363.066,830076531568.175,987304821542.152,1210081941398.6,1439461123430.75,1674640786036.4,2121063708751.66,1832774180319.93,2165961502751.72,2576183850806.81,2816787067316.22,2887116130913.48,2940745822078.8,2584151265962.58,2540369856563.15,2615263227679.8,2924906594129.03,2969429771610.46,2608795934173.51,3090113052044.16,3752344988903,3617895070373.04,3745043769553,3797527236194.65
GDP (current US$),NY.GDP.MKTP.CD,Caribbean small states,CSS,25625542926.4456,26504661126.1591,27742046925.4435,30589389405.8968,33597817092.3498,38224293958.7281,44325879983.2222,49739222993.1148,57296315261.9305,47913515379.1154,52803409572.0273,56728212756.0989,60152214325.0841,62057809452.4886,64139344973.1037,62546622822.0285,58077597799.5106,59854333034.3488,61251232769.8672,62185048912.3359,53339533047.3726,62692425791.373,78475897832.9531,79594075306.6477,90434300483.4678,95141207521.3621
GDP (current US$),NY.GDP.MKTP.CD,Central Europe and the Baltics,CEB,420823859911.381,460153265512.377,518049996936.665,621437270110.894,749236864681.291,871993037920.824,987675979323.667,1254691637899,1526123276964.15,1289261661160.8,1319446244881.88,1458158364344.55,1361901163411.55,1420225996416.23,1467454376587.2,1297144243677.59,1321564300745.06,1467504296996.79,1656387103225.12,1684322326510.05,1678297364952,1926387937049.61,1954028005289.23,2273564082260.43,2463134865871.42,2762562481345.2
GDP (current US$),NY.GDP.MKTP.CD,Early-demographic dividend,EAR,3378193447814.03,3351551499259.02,3255788416655.75,3622383752487.14,4209610787468.93,4897661936723.59,5600150744578.7,6630769690203.11,7464456008410.04,7181684474649.47,8728192674219.64,9842609213387.36,10284904242407,10342396461018.3,10547017467024.3,10141599371579.2,10435095271533.5,11321429912094.9,11470147555427.1,11681340567084.1,10818113835119.8,12689608907980,13943279396110.6,14791485754640,15648921855175.6,16406032169247.4
GDP (current US$),NY.GDP.MKTP.CD,East Asia & Pacific,EAS,8486535433030.27,7890593533286.75,8019320137887.65,8807340167908.37,9868085960844.77,10526916106059.6,11166176306011.2,12482468447983.2,14397041627177.2,14811619687570.6,17291859920837.7,20025003264159.5,21443742650233.5,21719346361874.9,22461065423931.7,22388696608294,23197528991928,24764692848732.2,26967805751611.4,27555988315218.6,27716337916114.1,31866900585287.8,31457553986143.5,31597454903562.8,32200466782431.1,33656980597208.2
GDP (current US$),NY.GDP.MKTP.CD,East Asia & Pacific (excluding high income),EAP,1748618348962.32,1862932027333.99,2063860728512.8,2337899791169.99,2712364424547.48,3140095880510.48,3783277937264.24,4787055911779.71,6062020651659.77,6581355241401.19,8008612939930.06,9774260422789.83,10905339110889,12047618706549.4,13004796624150.5,13549001701885.3,13844229287201,15115746338831.4,16902232225491.5,17503400404142.2,17805087162972.8,21231427856677.9,21564016559632.4,21645526054900.4,22248728139844.3,23247334500847.4
GDP (current US$),NY.GDP.MKTP.CD,East Asia & Pacific (IDA & IBRD countries),TEA,1746600304145.18,1860776095171.98,2061454246158.09,2335145056826.44,2709157341038.36,3136370768809.06,3778749876885.47,4781266905492.39,6054649425101.54,6573323824227.51,7998793934320.62,9762253898511.05,10891968824139.1,12032819510378.6,12988820106481,13532365705740.1,13827255558413.7,15097175319188,16881439039177.6,17481840638100.6,17783125335539.1,21205167482133,21537381722236.2,21618798469116.3,22221295178065.7,23218679986475.4
GDP (current US$),NY.GDP.MKTP.CD,Euro area,EMU,6533285976076.88,6636734730022.05,7247791094758.98,8929519218443.93,10242911187425.1,10627971366602,11309041991993.2,13035176682196.7,14346208350010.2,13135138604358.3,12835436183865.7,13866247656132.3,12839246579840.9,13413105856914.7,13739142693292.4,11880603228444.5,12177215800581.1,12901130483442.4,13937879176171.9,13658286442179.9,13338044901392.1,15008955622791.4,14578675912327.5,15957338405375.8,16601464538082.4,18010000307247
GDP (current US$),NY.GDP.MKTP.CD,Europe & Central Asia,ECS,10078047371487,10182615561468.2,11150184165050.7,13558532492379.2,15806093490340.9,16828963477327.4,18232780756499.3,21312176373245.5,23464214449944,20665617638433.4,21144686639874.4,23462080654159.3,22592146410958.5,23610195160751,23959718523184.4,20639397476661.5,20560352355734.8,21814876277943.7,23360537744962.4,23089828216899.5,22340802078287.1,25606138714522.2,25850174701132.2,27758730809930.4,29371366035247,32268612230366.9
GDP (current US$),NY.GDP.MKTP.CD,Europe & Central Asia (excluding high income),ECA,391265288460.481,335654261833.442,390539574547.918,498100392298.148,641354851059.115,798910158032.869,929653913665.92,1171564532812.61,1402469464526.39,1169850373591.65,1390857073642.43,1581470670923.71,1666784947849,1818186938934.41,1745687745481.27,1521842301869.27,1459048873589.79,1497595120805.31,1465381526737.36,1500446538705.77,1435629650684.1,1670530886782.34,1819829713206.56,2141252006536.72,2454291731125.3,2815874458069.5
GDP (current US$),NY.GDP.MKTP.CD,Europe & Central Asia (IDA & IBRD countries),TEC,896296644399.434,911685748933.185,1024837356677.88,1261025229727.55,1631386098916.6,2043000026365.16,2471291016359.46,3179151934107.3,3936202053332.51,3121840190453.83,3673616542653.72,4468439340114.01,4664191795996.97,4934304443297.29,4663476749067.68,3645031517122.17,3500968563901.72,3925651486138.39,4086887247276.34,4176304236875.06,3913694661148.13,4627341470532.29,5264957389633.5,5535571828711.02,6147416367408.77,7077191807196.39
GDP (current US$),NY.GDP.MKTP.CD,European Union,EUU,7279892216791.94,7398267811404.69,8089955515956.84,9944006859363.36,11434848361291.9,11940626626680.2,12754718274523.8,14779905573599.5,16360464416206,14844850799682.2,14641776061063.4,15874716537128.7,14731878294328.4,15398511081475.3,15763599531004.8,13656255577702.6,13988150566298.6,14871316217995.7,16092407006604.4,15809077129406.2,15504058553907.7,17495257191725.6,17023620598906.4,18659279022583.3,19501078750999.4,21243212570163.3
