"ISO3","delta_unsc_h1","delta_unsc_h2","delta_interaktion_h2","n_unsc_jahre"
"TZA",0.0285200406809729,0.063831201909789,-0.00137600124815233,1
"ECU",0.00941972655111425,0.00877590249975202,-0.000115662267864529,1
"ETH",-0.00941945730302101,0,0,1
"UGA",-0.00879956707850199,-0.0670254612354746,0.00158055338189335,1
"KEN",-0.00814804760292109,-0.010082088553341,0.000117621374747631,1
"COL",-0.00748722211747237,-0.00513610342940522,-0.000390860482442275,1
"UKR",0.00730940067053144,0.00770395621383353,-0.000162676731787276,1
"PRY",-0.0066419214137422,-0.0177773888044601,0.000433625710463855,0
"ARG",0.00628423940640213,0.0231800187685368,-0.000230781813711263,0
"GAB",0.00602396134057963,0.00978415259237347,0.000132148664220156,0
"SLE",-0.00576364248300651,-0.00545797841778083,6.89147628704012e-05,1
"MOZ",0.00546567629571054,0.013068154893885,-0.000158677955720256,0
"GMB",-0.00496984238651885,-0.0129815372929398,7.98752791176846e-05,0
"PER",0.00372704951974449,-0.00909706063996827,0.000607283004432335,1
"HTI",0.00367598642779743,0,0,0
"COG",-0.00366506518440747,0.0148249694783385,-0.000868911136838012,1
"MKD",0.00343954645543557,-0.00013633997858243,0.000193443042166806,0
"RWA",-0.00324590387376308,0.00253824275315561,-0.000237126870074907,1
"HND",0.00319023217357994,0.000506777148123208,-9.40747587967234e-05,0
"COD",-0.00305996733800856,0,0,0
"TCD",-0.00289309742311635,0,0,1
"MDG",0.00267501736832792,0.00486726009987,0.000312257519896655,0
"GTM",-0.00246963929618186,-0.00312390155294093,0.000163775667283763,0
"BGD",0.00228218472188771,0.00123793737869762,4.5933063809555e-05,0
"TJK",-0.0022736607648499,0,0,0
"AGO",-0.002272688569763,-0.0172811702129678,0.000431746209137886,0
"MDA",-0.00220343811382461,-0.00426258488527349,5.03745236293224e-05,0
"NIC",0.0021738676005135,0.00183391308188496,2.26422193048263e-05,0
"GHA",-0.00206358415878185,-0.00191235104255331,1.27193920072132e-05,1
"SRB",-0.00195326484977319,0,0,0
"STP",0.00185397763624163,-0.00114220309904194,1.15619000340638e-05,0
"ARM",-0.00166676455863993,-0.0148952871296597,0.000602454686068041,0
"EGY",-0.00164354960385641,-0.00203794437448615,-3.23274461756806e-06,1
"ZMB",-0.00158187242454571,0.0217464262207182,-0.00091647958574449,0
"BIH",-0.0014961043320296,-0.00696423938133373,-1.69053571351929e-05,1
"KGZ",-0.00143653691830805,-0.000658495729004886,-9.14280650246573e-05,0
"TUN",-0.00125772457233409,-0.00237741017739595,-5.83366748467839e-05,0
"PAK",0.00114942072469239,0.00625700052910089,-0.00012150664419731,1
"CAF",-0.00106852652662422,0.00202358987626505,-0.000196392615822071,0
"MRT",0.00102396915184157,0,0,0
"COM",0.000934276103074283,3.13890546169288e-05,5.53022922695624e-05,0
"CMR",-0.000879730022235695,-0.0055026340972336,6.11312089343413e-05,0
"GIN",0.000739347606205143,0,0,0
"DOM",-0.000649990490066241,-0.000128718830733038,-1.45998462130848e-05,0
"SLV",0.000612611890312462,0.00259529851713613,-4.94693645977304e-05,0
"NPL",-0.000485445586295541,-0.00198754110908107,3.89168142846609e-05,0
"LKA",0.000421113844138114,0.0068898746762218,-0.000264647318148569,0
"CPV",-0.000341725569603435,-0.00525588917467137,0.00011418370411714,0
"GEO",-0.000341190091391261,0.00326930015673043,-0.000293188774857493,0
"ALB",-0.000330539807751627,-0.000637401761481061,6.55923652858872e-05,0
"YEM",0.000320900674562599,0.00330713826049061,8.32228129827666e-05,0
"SLB",0.000209323232050133,-0.00302095111460657,0.000202121121052873,0
"MNG",2.33025946158177e-05,0,0,0
"AFG",0,0,0,0
"BGR",0,0,0,1
"BLR",0,0,0,0
"BOL",0,0,0,0
"BRA",0,0,0,0
"IRQ",0,0,0,0
"JOR",0,0,0,0
"LSO",0,0,0,0
"MWI",0,0,0,0
"TUR",0,0,0,0
