"dimension","ISO3","wert"
"avg_resource_dep (hoechste)","AGO",99.3
"avg_resource_dep (hoechste)","IRQ",98.6
"avg_resource_dep (hoechste)","COG",86.2
"avg_resource_dep (hoechste)","MNG",81.4
"avg_resource_dep (hoechste)","YEM",80.9
"avg_resource_dep (hoechste)","PAN",80.2
"avg_resource_dep (hoechste)","GIN",74.3
"avg_resource_dep (hoechste)","MOZ",73.7
"avg_resource_dep (hoechste)","GAB",73.3
"avg_resource_dep (hoechste)","PNG",72.5
"avg_cond (hoechste)","COG",1.169
"avg_cond (hoechste)","TCD",1.069
"avg_cond (hoechste)","COD",1.057
"avg_cond (hoechste)","CAF",1.053
"avg_cond (hoechste)","YEM",1.031
"avg_cond (hoechste)","MDG",1.023
"avg_cond (hoechste)","GNQ",1
"avg_cond (hoechste)","SDN",1
"avg_cond (hoechste)","MLI",0.987
"avg_cond (hoechste)","NER",0.976
"avg_cond (niedrigste)","HUN",0.105
"avg_cond (niedrigste)","GTM",0.305
"avg_cond (niedrigste)","BRA",0.352
"avg_cond (niedrigste)","IRL",0.355
"avg_cond (niedrigste)","CYP",0.383
"avg_cond (niedrigste)","URY",0.409
"avg_cond (niedrigste)","ISL",0.41
"avg_cond (niedrigste)","LVA",0.419
"avg_cond (niedrigste)","PER",0.441
"avg_cond (niedrigste)","TUR",0.477
"avg_rohstoff_cond_share (hoechste)","COG",0.408
"avg_rohstoff_cond_share (hoechste)","GNQ",0.308
"avg_rohstoff_cond_share (hoechste)","YEM",0.286
"avg_rohstoff_cond_share (hoechste)","MLI",0.26
"avg_rohstoff_cond_share (hoechste)","HRV",0.251
"avg_rohstoff_cond_share (hoechste)","COD",0.225
"avg_rohstoff_cond_share (hoechste)","GIN",0.217
"avg_rohstoff_cond_share (hoechste)","MDG",0.208
"avg_rohstoff_cond_share (hoechste)","GHA",0.207
"avg_rohstoff_cond_share (hoechste)","TCD",0.201
