"ISO3","avg_cond","avg_resource","unsc_share"
"AGO",0.768487394957984,99.2753489697768,0
"IRQ",0.896469251068076,98.5748216078346,0
"COG",1.16851119894598,86.1716630561195,0.25
"MNG",0.488098386670193,81.3741369524855,0
"YEM",1.03103448275862,80.9472459817089,0
"PAN",0.5,80.1548594125385,0
"GIN",0.956631746795737,74.3060743735872,0
"MOZ",0.684029916838336,73.7213916258919,0
"GAB",0.88844642112164,73.3458832912004,0
"PNG",0.700854700854701,72.4502870512923,0
"COD",1.05735874805642,71.0261068564692,0
"ZMB",0.809453781512605,69.0536755663534,0
"JAM",0.519322211594317,67.2638965811521,0
"CMR",0.730396104334708,54.8579591207709,0
"PER",0.441360340085021,51.3077600918203,0.5
"BOL",0.712041884816754,47.8322210976816,0
"MRT",0.797745594988507,44.1583716822689,0
"NER",0.975603250808783,43.8040953656742,0.2
"ISL",0.410404624277457,41.3434812622517,0
"GRC",0.710340531561461,40.4434444822606,0
"COL",0.673552374756019,39.3942774012368,0.5
"PRY",0.488520448258519,38.4838644993716,0
